time,fcnt,curAngle_deg,tgtAngle_deg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-30 02:07:23.202087615+00:00,35,-90.0,-90.0,0.0,0.033,17.05,0.0,1016,1017,0.0,0.0,4.74,43.45,0.4,655.22
2025-07-30 02:12:23.243446994+00:00,36,-90.0,-90.0,0.0,0.037,17.15,0.0,1018,1015,0.0,0.0,4.74,43.47,0.4,655.21
2025-07-30 02:17:23.142236273+00:00,37,-90.0,-90.0,0.0,0.034,17.15,0.0,1017,1017,0.0,0.0,4.74,43.41,0.4,655.21
2025-07-30 02:22:23.119999861+00:00,38,-90.0,-90.0,0.0,0.035,17.11,0.0,1016,1016,0.0,0.0,4.74,43.39,0.4,655.2
2025-07-30 02:27:23.070836627+00:00,39,-90.0,-90.0,0.0,0.034,17.05,0.0,1017,1017,0.0,0.0,4.73,43.24,0.4,655.21
2025-07-30 02:32:23.040980161+00:00,40,-90.0,-90.0,0.0,0.038,17.08,0.0,1018,1017,0.0,0.0,4.74,43.26,0.4,655.22
2025-07-30 02:37:30.005954741+00:00,41,-90.0,-90.0,0.0,0.032,17.07,0.0,1018,1016,0.0,0.0,4.74,43.29,0.4,655.22
2025-07-30 02:42:23.072215574+00:00,42,-90.0,-90.0,0.0,0.033,17.14,0.0,1017,1017,0.0,0.0,4.74,43.35,0.4,655.22
2025-07-30 02:47:22.961287537+00:00,43,-90.0,-90.0,0.0,0.033,17.13,0.0,1018,1016,0.0,0.0,4.74,43.4,0.4,655.21
2025-07-30 02:52:22.936315865+00:00,44,-90.0,-90.0,0.0,0.038,17.13,0.0,1016,1023,0.0,0.0,4.74,43.38,0.4,655.22
2025-07-30 02:57:22.897799767+00:00,45,-90.0,-90.0,0.0,0.035,17.15,0.0,1016,1016,0.0,0.0,4.74,43.36,0.4,655.22
2025-07-30 03:02:22.855888902+00:00,46,-90.0,-90.0,0.0,0.04,17.09,0.0,1017,1018,0.0,0.0,4.74,43.29,0.4,655.21
2025-07-30 03:07:22.912685802+00:00,47,-90.0,-90.0,0.0,0.035,17.1,0.0,1018,1017,0.0,0.0,4.74,43.31,0.4,655.21
2025-07-30 03:17:22.762370004+00:00,49,-90.0,-90.0,0.0,0.034,17.11,0.0,1023,1016,0.0,0.0,4.74,43.34,0.41,655.21
2025-07-30 03:32:22.651623716+00:00,52,-90.0,-90.0,0.0,0.034,17.15,0.0,1016,1014,0.0,0.0,4.74,43.43,0.42,655.21
2025-07-30 03:37:22.619481031+00:00,53,-90.0,-90.0,0.0,0.035,17.08,0.0,1016,1013,0.0,0.0,4.74,43.48,0.42,655.22
2025-07-30 03:42:22.680278210+00:00,54,-90.0,-90.0,0.0,0.031,17.12,0.0,1015,1009,0.0,0.0,4.74,43.52,0.43,655.2
2025-07-30 03:47:22.543580875+00:00,55,-90.0,-90.0,0.0,0.034,17.08,0.0,1016,1007,0.0,0.0,4.74,43.47,0.46,655.21
2025-07-30 03:52:22.525370220+00:00,56,-90.0,-90.0,0.0,0.034,17.09,0.0,1012,999,0.0,0.0,4.74,43.49,0.5,655.21
2025-07-30 03:57:29.506745259+00:00,57,-90.0,-90.0,0.0,0.036,17.07,0.0,1007,983,0.0,0.0,4.74,43.46,0.58,655.2
2025-07-30 04:07:22.421510189+00:00,59,-90.0,-90.0,0.0,0.035,17.19,655.33,983,904,0.0,0.0,4.74,43.46,0.99,655.0
2025-07-30 04:12:22.387400345+00:00,60,-90.0,-90.0,0.0,0.037,17.19,655.34,952,828,0.0,0.0,4.74,43.55,1.21,655.09
2025-07-30 04:17:29.408727583+00:00,61,-90.0,-90.0,0.0,0.033,17.26,655.34,894,684,0.0,0.0,4.74,43.64,1.9,655.21
2025-07-30 04:22:29.321938308+00:00,62,-90.0,-90.0,0.0,0.033,17.23,655.33,858,594,0.0,0.0,4.74,43.64,2.82,655.22
2025-07-30 04:27:29.302688926+00:00,63,-90.0,-90.0,0.0,0.031,17.27,655.33,819,565,0.0,0.0,4.74,43.66,3.19,655.23
2025-07-30 04:32:22.369522298+00:00,64,-90.0,-90.0,0.0,0.038,17.28,655.34,748,463,0.0,0.0,4.74,43.69,3.23,655.26
2025-07-30 04:37:29.229208711+00:00,65,-90.0,-90.0,0.0,0.036,17.28,655.35,744,459,0.0,0.0,4.74,43.73,3.29,655.29
2025-07-30 04:42:29.205521366+00:00,66,-90.0,-90.0,0.0,0.033,17.3,655.35,712,368,0.0,0.0,4.74,43.74,3.47,655.31
2025-07-30 04:47:29.168717944+00:00,67,-90.0,-90.0,0.0,0.036,17.29,0.0,699,389,0.0,0.0,4.74,43.76,3.53,0.0
2025-07-30 04:52:22.126214384+00:00,68,-90.0,-90.0,0.0,0.034,17.32,0.0,721,421,0.0,0.0,4.74,43.77,3.53,0.0
2025-07-30 04:57:22.092555741+00:00,69,-90.0,-90.0,0.0,0.036,17.27,655.35,724,422,0.0,0.0,4.74,43.72,3.51,655.33
2025-07-30 05:02:22.078185094+00:00,70,-90.0,-90.0,0.0,0.035,17.28,655.35,739,463,0.0,0.0,4.74,43.66,3.44,655.31
2025-07-30 05:07:22.031153740+00:00,71,-90.0,-90.0,0.0,0.035,17.26,655.35,698,403,0.0,0.0,4.74,43.68,3.48,655.33
2025-07-30 05:12:22.003815466+00:00,72,-90.0,-90.0,0.0,0.031,17.33,0.01,590,308,0.0,0.0,4.74,43.79,3.56,0.04
2025-07-30 05:17:28.968736395+00:00,73,-90.0,-90.0,0.0,0.038,17.37,0.08,527,256,0.0,0.0,4.74,43.89,3.64,0.28
2025-07-30 06:43:01.025168173+00:00,0,-83.8,-83.5,0.005,0.03,15.81,2.56,87,14,5.05,26.54,4.75,44.36,4.31,7.9
2025-07-30 06:53:00.978205664+00:00,2,-83.8,-81.4,0.0,0.034,17.42,4.11,102,12,0.0,0.0,4.74,44.09,4.32,11.43
2025-07-30 06:58:00.961516894+00:00,3,-83.8,-80.3,0.0,0.039,17.46,2.74,119,21,0.0,0.0,4.74,44.19,4.31,7.62
2025-07-30 07:03:00.829941062+00:00,4,-83.8,-79.3,0.0,0.033,17.53,3.11,99,13,0.0,0.0,4.74,44.31,4.31,8.65
2025-07-30 07:08:00.838259106+00:00,5,-78.0,-78.2,0.006,0.033,17.58,3.44,105,15,5.05,30.84,4.75,44.5,4.32,9.57
2025-07-30 07:13:00.757859457+00:00,6,-78.0,-77.1,0.0,0.031,17.56,2.93,120,25,0.0,0.0,4.75,44.42,4.31,8.17
2025-07-30 07:18:00.817098595+00:00,7,-78.0,-76.0,0.0,0.032,17.54,2.43,137,32,0.0,0.0,4.75,44.29,4.31,6.75
2025-07-30 07:23:00.821211891+00:00,8,-78.0,-74.9,0.0,0.033,17.4,2.07,133,32,0.0,0.0,4.75,43.99,4.31,5.78
2025-07-30 07:28:00.791943702+00:00,9,-78.0,-73.7,0.0,0.032,17.44,2.2,132,29,0.0,0.0,4.75,44.11,4.31,6.12
2025-07-30 07:33:00.680457471+00:00,10,-71.8,-72.6,0.006,0.032,17.48,2.33,111,30,5.04,33.18,4.75,44.13,4.31,6.48
2025-07-30 07:38:00.629059414+00:00,11,-71.8,-71.4,0.0,0.034,17.48,2.96,92,14,0.0,0.0,4.75,44.21,4.31,8.25
2025-07-30 07:43:00.658571986+00:00,12,-71.8,-70.3,0.0,0.037,17.53,3.52,88,13,0.0,0.0,4.75,44.33,4.32,9.81
2025-07-30 07:48:00.648536901+00:00,13,-71.8,-69.1,0.0,0.035,17.58,3.57,78,4,0.0,0.0,4.75,44.37,4.32,9.93
2025-07-30 07:58:00.469064300+00:00,15,-66.0,-66.6,0.005,0.036,17.53,4.91,57,0,5.04,32.76,4.75,44.32,4.32,13.65
2025-07-30 08:03:00.432798473+00:00,16,-66.0,-65.3,0.0,0.029,17.53,5.96,51,0,0.0,0.0,4.75,44.32,4.33,16.53
2025-07-30 08:08:00.502640894+00:00,17,-66.0,-64.1,0.0,0.028,17.38,7.2,34,0,0.0,0.0,4.75,44.01,4.34,19.96
2025-07-30 08:13:00.492715671+00:00,18,-66.0,-62.8,0.0,0.029,17.34,8.87,24,0,0.0,0.0,4.75,44.11,4.35,24.67
2025-07-30 08:17:59.338559962+00:00,19,-66.0,-61.4,0.0,0.025,17.43,10.22,24,0,0.0,0.0,4.75,44.33,4.35,28.38
2025-07-30 08:22:59.299407499+00:00,20,-59.8,-60.1,0.005,0.033,17.68,12.1,16,0,5.05,33.9,4.75,44.99,4.36,33.52
2025-07-30 08:27:58.753969080+00:00,21,-59.8,-58.7,0.0,0.033,17.72,13.35,16,0,0.0,0.0,4.75,44.93,4.37,36.79
2025-07-30 08:32:58.618718158+00:00,22,-59.8,-57.3,0.0,0.034,17.61,12.82,13,0,0.0,0.0,4.75,44.71,4.37,35.43
2025-07-30 08:37:58.629897368+00:00,23,-59.8,-55.9,0.0,0.038,17.87,13.08,12,47,0.0,0.0,4.76,45.43,4.37,36.19
2025-07-30 08:42:58.621999501+00:00,24,-53.6,-54.5,0.008,0.028,17.96,13.33,12,0,5.06,37.53,4.76,45.66,4.37,36.88
2025-07-30 08:47:58.608007134+00:00,25,-53.6,-53.0,0.0,0.034,17.93,13.82,10,0,0.0,0.0,4.76,45.52,4.37,38.13
2025-07-30 08:52:58.478046934+00:00,26,-53.6,-51.5,0.0,0.028,17.64,13.41,4,0,0.0,0.0,4.76,44.86,4.37,37.09
2025-07-30 08:57:58.450673271+00:00,27,-53.6,-49.9,0.0,0.032,17.67,16.06,0,0,0.0,0.0,4.76,44.83,4.38,44.21
2025-07-30 09:02:58.471542876+00:00,28,-47.6,-48.4,0.005,0.032,17.7,18.44,0,18,5.06,28.72,4.76,44.94,4.4,50.69
2025-07-30 09:07:58.458902840+00:00,29,-47.6,-46.8,0.0,0.036,17.74,21.41,0,0,0.0,0.0,4.76,44.96,4.41,58.54
2025-07-30 09:18:02.168799267+00:00,0,-44.2,-43.5,0.043,0.03,16.59,25.1,0,0,5.06,30.69,4.75,43.6,4.44,70.65
2025-07-30 09:23:01.225182197+00:00,1,-44.2,-41.8,0.0,0.028,17.29,28.2,0,0,0.0,0.0,4.72,44.28,4.45,76.61
2025-07-30 09:28:01.104361056+00:00,2,-44.2,-40.0,0.0,0.029,17.16,28.87,0,0,0.0,0.0,4.73,43.81,4.45,78.26
2025-07-30 09:33:01.063169741+00:00,3,-38.2,-38.3,0.006,0.029,17.11,22.15,0,8,5.05,33.87,4.7,44.06,4.42,60.6
2025-07-30 09:38:01.024572902+00:00,4,-38.2,-36.5,0.0,0.027,17.02,22.12,0,56,0.0,0.0,4.68,43.92,4.42,60.29
2025-07-30 09:43:01.077010900+00:00,5,-38.2,-34.6,0.0,0.024,17.08,62.89,0,0,0.0,0.0,4.75,43.39,4.62,164.06
2025-07-30 09:48:00.963039048+00:00,6,-32.2,-32.8,0.006,0.022,17.73,60.86,0,1019,5.05,35.05,4.74,45.2,4.6,159.64
2025-07-30 09:53:01.001723752+00:00,7,-32.2,-30.9,0.0,0.028,18.09,31.07,0,1019,0.0,0.0,4.73,46.17,4.45,83.82
2025-07-30 09:58:00.903734586+00:00,8,-32.2,-29.0,0.0,0.027,17.81,33.33,0,1020,0.0,0.0,4.71,45.68,4.47,90.07
2025-07-30 10:03:00.996310433+00:00,9,-26.2,-27.0,0.007,0.029,17.91,48.53,0,1019,5.06,32.22,4.72,45.7,4.54,128.7
2025-07-30 10:08:00.959130039+00:00,10,-26.2,-25.0,0.0,0.028,17.78,51.54,0,1021,0.0,0.0,4.72,45.38,4.55,136.26
2025-07-30 10:13:00.809900660+00:00,11,-26.2,-23.0,0.0,0.028,17.14,48.06,0,1019,0.0,0.0,4.74,43.56,4.53,127.45
2025-07-30 10:18:00.845172267+00:00,12,-20.2,-20.9,0.007,0.03,17.17,39.29,0,1020,5.07,32.37,4.75,43.61,4.49,105.58
