time,fcnt,curAngle_deg,tgtAngle_deg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-28 08:25:24.233110210+00:00,0,-82.4,-84.0,0.007,0.003,0.0,0.0,410,304,5.08,25.0,1.21,655.08,3.39,0.13
2025-07-28 08:26:24.232094792+00:00,1,-74.7,-75.0,0.005,0.006,0.0,0.0,424,315,5.05,26.3,1.22,655.1,3.38,0.09
2025-07-28 08:28:43.765686322+00:00,0,-82.7,-82.5,0.006,0.006,2.1,0.0,407,293,5.08,30.7,5.1,28.9,3.37,0.07
2025-07-28 08:29:43.772459018+00:00,1,-74.9,-73.5,0.004,0.005,2.69,0.0,408,293,5.04,23.03,5.09,31.74,3.38,0.08
2025-07-28 08:31:24.759542237+00:00,0,-57.1,-58.1,0.028,0.003,0.0,0.0,413,301,5.05,29.23,1.23,655.07,3.37,0.06
2025-07-28 08:32:24.762435830+00:00,1,-57.1,-57.9,0.0,0.002,0.0,0.0,413,301,0.0,0.0,1.23,655.08,3.36,0.05
2025-07-28 08:34:55.725894046+00:00,0,-56.0,-57.1,0.035,0.003,2.18,0.0,410,297,5.05,31.94,5.1,30.56,3.33,0.03
2025-07-28 08:35:55.717677491+00:00,1,-56.0,-56.9,0.0,0.006,2.64,0.0,408,294,0.0,0.0,5.09,31.38,3.37,0.08
2025-07-28 08:38:29.628992393+00:00,2,-56.0,-56.6,0.0,0.005,2.64,0.0,402,290,0.0,0.0,5.09,31.4,3.37,0.02
2025-07-28 08:39:29.634996072+00:00,3,-56.0,-56.0,0.0,0.006,2.65,0.0,409,297,0.0,0.0,5.09,31.49,3.37,0.04
2025-07-28 08:42:03.553597589+00:00,4,-56.0,-55.7,0.0,0.004,2.67,0.0,410,296,0.0,0.0,5.09,31.68,3.37,0.04
2025-07-28 08:43:03.541002807+00:00,5,-56.0,-54.8,0.0,0.006,2.64,0.0,405,289,0.0,0.0,5.09,31.42,3.37,0.04
2025-07-28 08:45:37.448049412+00:00,6,-56.0,-54.5,0.0,0.005,2.64,0.0,398,287,0.0,0.0,5.09,31.42,3.37,0.07
2025-07-28 08:46:37.455979795+00:00,7,-56.0,-54.0,0.0,0.004,2.65,0.0,410,296,0.0,0.0,5.09,31.48,3.37,0.09
2025-07-28 08:49:11.374337621+00:00,8,-56.0,-53.7,0.0,0.006,2.65,0.0,425,311,0.0,0.0,5.09,31.5,3.37,0.02
2025-07-28 08:50:11.368428715+00:00,9,-56.0,-52.8,0.0,0.005,2.66,0.0,399,287,0.0,0.0,5.09,31.59,3.37,0.05
2025-07-28 08:52:45.290348625+00:00,10,-56.0,-52.5,0.0,0.005,2.64,0.0,408,295,0.0,0.0,5.09,31.4,3.37,0.1
2025-07-28 08:53:45.287190992+00:00,11,-56.0,-51.8,0.0,0.006,2.65,0.0,404,292,0.0,0.0,5.09,31.53,3.37,0.04
2025-07-28 08:56:19.206447329+00:00,12,-56.0,-51.5,0.0,0.005,2.65,0.0,401,289,0.0,0.0,5.09,31.52,3.37,0.06
2025-07-28 08:57:19.189812984+00:00,13,-49.6,-50.6,0.0,0.006,2.43,0.0,403,293,0.0,0.0,5.1,28.89,3.37,0.06
2025-07-28 09:01:29.159467939+00:00,0,-48.4,-49.2,0.038,0.007,1.93,0.0,389,277,5.05,30.63,5.1,27.6,3.37,0.04
2025-07-28 09:02:27.565648732+00:00,1,-48.4,-48.9,0.0,0.005,2.43,0.0,387,274,0.0,0.0,5.1,28.83,3.37,0.03
2025-07-28 09:03:27.546103548+00:00,2,-48.4,-48.6,0.0,0.009,2.38,0.0,396,283,0.0,0.0,5.1,28.21,3.37,0.07
2025-07-28 09:04:27.584410447+00:00,3,-48.4,-48.2,0.0,0.008,2.37,0.0,394,280,0.0,0.0,5.1,28.11,3.37,0.03
2025-07-28 09:05:27.520693604+00:00,4,-48.4,-47.9,0.0,0.006,2.37,0.0,375,266,0.0,0.0,5.1,28.13,3.37,0.07
2025-07-28 09:06:27.516885597+00:00,5,-48.4,-47.6,0.0,0.005,2.37,0.0,379,268,0.0,0.0,5.1,28.11,3.38,0.11
2025-07-28 09:07:27.509376331+00:00,6,-48.4,-47.3,0.0,0.006,2.37,0.0,369,262,0.0,0.0,5.1,28.12,3.39,0.09
2025-07-28 09:08:27.529947934+00:00,7,-48.4,-47.0,0.0,0.004,2.37,0.0,359,255,0.0,0.0,5.1,28.16,3.39,0.1
2025-07-28 09:09:27.528666102+00:00,8,-48.4,-46.6,0.0,0.006,2.37,0.0,353,250,0.0,0.0,5.1,28.13,3.4,0.13
2025-07-28 09:10:27.488234595+00:00,9,-48.4,-46.3,0.0,0.007,2.37,0.0,355,250,0.0,0.0,5.1,28.17,3.4,0.14
2025-07-28 09:11:27.482250380+00:00,10,-48.4,-46.0,0.0,0.008,2.37,0.0,356,248,0.0,0.0,5.1,28.15,3.39,0.13
2025-07-28 09:12:27.485067799+00:00,11,-48.4,-45.6,0.0,0.006,2.37,0.0,357,255,0.0,0.0,5.1,28.16,3.4,0.13
2025-07-28 09:13:27.591128723+00:00,12,-48.4,-45.3,0.0,0.006,2.37,0.0,359,255,0.0,0.0,5.1,28.13,3.4,0.12
2025-07-28 09:14:27.478751792+00:00,13,-48.4,-45.0,0.0,0.008,2.37,0.0,358,249,0.0,0.0,5.1,28.16,3.4,0.15
2025-07-28 09:15:27.514823945+00:00,14,-48.4,-44.7,0.0,0.007,2.37,0.0,355,249,0.0,0.0,5.1,28.17,3.4,0.11
2025-07-28 09:16:27.468547643+00:00,15,-48.4,-44.3,0.0,0.006,2.37,0.0,354,248,0.0,0.0,5.1,28.14,3.4,0.12
2025-07-28 09:17:27.499686816+00:00,16,-48.4,-44.0,0.0,0.006,2.37,0.0,346,247,0.0,0.0,5.1,28.18,3.4,0.13
2025-07-28 09:18:27.452725593+00:00,17,-48.4,-43.6,0.0,0.01,2.37,0.0,344,239,0.0,0.0,5.1,28.15,3.4,0.12
2025-07-28 09:19:27.487449555+00:00,18,-42.2,-43.3,0.007,0.004,2.37,0.0,362,258,5.07,34.23,5.1,28.16,3.39,0.12
2025-07-28 09:20:27.470910849+00:00,19,-42.2,-43.0,0.0,0.006,2.33,0.0,355,247,0.0,0.0,5.1,27.72,3.39,0.1
2025-07-28 09:21:27.437526549+00:00,20,-42.2,-42.6,0.0,0.005,2.34,0.0,365,254,0.0,0.0,5.1,27.74,3.39,0.09
2025-07-28 09:33:07.518727761+00:00,0,-37.8,-38.6,0.047,0.003,0.0,1.99,45,29,5.03,31.02,1.21,655.1,4.39,39.0
2025-07-28 09:34:30.997942546+00:00,0,-37.3,-38.1,0.046,0.003,2.14,0.75,29,52,5.03,30.42,5.07,31.11,4.33,12.82
2025-07-28 09:35:28.951133701+00:00,1,-37.3,-37.7,0.0,0.003,2.71,0.53,67,50,0.0,0.0,5.06,32.43,4.32,7.43
2025-07-28 09:36:28.910608384+00:00,2,-37.3,-37.3,0.0,0.006,2.64,2.29,17,3,0.0,0.0,5.07,31.53,4.37,31.65
2025-07-28 09:37:28.872070267+00:00,3,-37.3,-37.0,0.0,0.004,2.65,2.86,16,1,0.0,0.0,5.07,31.64,4.39,39.41
2025-07-28 09:38:28.920310804+00:00,4,-37.3,-36.6,0.0,0.005,2.64,2.88,16,2,0.0,0.0,5.07,31.58,4.39,39.75
2025-07-28 09:39:28.879969649+00:00,5,-37.3,-36.2,0.0,0.005,2.64,2.81,13,1,0.0,0.0,5.07,31.59,4.39,38.82
2025-07-28 09:40:28.839533972+00:00,6,-37.3,-35.9,0.0,0.004,2.65,2.92,10,0,0.0,0.0,5.07,31.64,4.39,40.25
2025-07-28 09:41:28.892282191+00:00,7,-37.3,-35.5,0.0,0.007,2.64,2.92,12,0,0.0,0.0,5.06,31.61,4.39,40.29
2025-07-28 09:42:28.848624193+00:00,8,-37.3,-35.1,0.0,0.004,2.65,1.86,46,28,0.0,0.0,5.06,31.68,4.36,25.85
2025-07-28 09:43:28.807463782+00:00,9,-37.3,-34.8,0.0,0.006,2.65,2.21,3,0,0.0,0.0,5.06,31.72,4.37,30.58
2025-07-28 09:44:28.864045018+00:00,10,-37.3,-34.4,0.0,0.007,2.65,2.98,0,0,0.0,0.0,5.05,31.74,4.39,41.09
2025-07-28 09:45:28.753350322+00:00,11,-37.3,-34.0,0.0,0.006,2.65,2.54,14,0,0.0,0.0,5.05,31.81,4.38,35.06
2025-07-28 09:46:28.879708943+00:00,12,-37.3,-33.6,0.0,0.007,2.65,1.34,41,19,0.0,0.0,5.05,31.84,4.34,18.71
2025-07-28 09:47:28.749018793+00:00,13,-37.3,-33.3,0.0,0.006,2.65,0.9,53,40,0.0,0.0,5.05,31.79,4.33,12.62
2025-07-28 09:48:28.791314734+00:00,14,-37.3,-32.9,0.0,0.006,2.65,0.77,49,33,0.0,0.0,5.05,31.76,4.32,10.78
2025-07-28 09:49:28.850633267+00:00,15,-37.3,-32.5,0.0,0.005,2.65,2.31,18,0,0.0,0.0,5.05,31.82,4.37,31.95
2025-07-28 09:50:28.807897849+00:00,16,-30.9,-32.1,0.006,0.005,2.63,0.7,54,55,5.02,38.25,5.05,31.49,4.32,9.92
2025-07-28 09:59:36.835280185+00:00,0,-29.3,-28.6,0.163,0.023,19.65,14.02,18,9,5.04,30.76,4.74,52.64,4.37,40.57
2025-07-28 10:04:34.709284091+00:00,1,-29.3,-26.6,0.0,0.028,21.5,12.8,27,17,0.0,0.0,4.71,55.24,4.35,35.48
2025-07-28 10:24:16.030231+00:00,0,-20.0,-18.5,0.064,0.028,12.67,7.36,23,60,5.03,30.55,5.09,31.18,4.33,21.26
2025-07-28 10:29:14.083073813+00:00,1,-20.0,-16.4,0.0,0.033,13.29,11.68,77,108,0.0,0.0,5.09,31.53,4.34,32.43
2025-07-28 10:34:13.894102498+00:00,2,-13.8,-14.3,0.005,0.027,12.85,7.11,25,75,5.04,27.11,5.12,30.24,4.33,19.75
2025-07-28 10:45:32.636936281+00:00,0,-10.9,-9.4,0.076,0.021,11.22,0.73,167,19,5.04,28.32,5.06,27.95,5.78,1.63
