time,fcnt,curDeg,tgtDeg,altDeg,motor_mWh,logic_mWh,solar_mWh,motor_s,ldrEast,ldrWest
2025-07-01 10:26:10.974833255+00:00,7,46.4,47.6,54.8,0.059,0.0,0.016,0.2,215,209
2025-07-01 10:31:10.659067698+00:00,8,46.4,49.3,54.2,0.059,0.0,0.007,0.0,351,349
2025-07-01 10:36:10.348139116+00:00,9,46.4,50.9,53.6,0.059,0.0,0.004,0.0,375,369
2025-07-01 10:41:10.032993290+00:00,10,52.1,52.5,53.0,0.07,0.0,0.0,0.2,357,356
2025-07-01 10:46:09.712623924+00:00,11,52.1,54.1,52.4,0.063,0.0,0.0,0.0,356,354
2025-07-01 10:51:09.495241928+00:00,12,52.1,55.7,51.7,0.066,0.0,0.002,0.0,362,358
2025-07-01 10:59:18.756708758+00:00,0,32.4,34.5,58.4,0.094,0.0,0.005,1.5,352,349
2025-07-01 11:04:17.043706146+00:00,1,32.4,36.5,57.9,0.066,0.0,0.003,0.0,356,352
2025-07-01 11:09:16.721828380+00:00,2,37.8,38.4,57.4,0.064,0.0,0.0,0.2,365,359
2025-07-01 11:14:16.507552865+00:00,3,37.8,40.3,56.9,0.046,0.0,0.002,0.0,377,370
2025-07-01 11:19:16.288644844+00:00,4,37.8,42.2,56.4,0.054,0.0,0.0,0.0,392,383
2025-07-01 11:24:16.075203966+00:00,5,43.1,44.0,55.9,0.057,0.0,0.0,0.2,374,366
2025-07-01 11:29:15.850474528+00:00,6,43.1,45.8,55.4,0.041,0.0,0.001,0.0,399,390
2025-07-01 13:36:40.471440220+00:00,0,58.7,60.3,49.5,0.237,11.765,53.0,3.6,21,93
2025-07-01 13:41:40.406335527+00:00,1,58.7,61.7,48.8,0.065,12.949,46.59,0.0,29,100
2025-07-01 13:46:40.365214069+00:00,2,58.7,63.1,48.1,0.054,12.967,56.1,0.0,22,94
2025-07-01 13:51:40.335714981+00:00,3,64.0,64.4,47.4,0.052,13.026,55.515,0.2,21,94
2025-07-01 13:56:38.994238922+00:00,4,64.0,65.8,46.7,0.031,13.223,48.047,0.0,23,95
2025-07-01 14:01:38.706538358+00:00,5,64.0,67.1,46.0,0.025,13.14,24.296,0.0,45,115
2025-07-01 14:06:38.651112137+00:00,6,64.0,68.3,45.3,0.028,13.152,34.539,0.0,18,83
2025-07-01 14:11:38.622755894+00:00,7,68.6,69.6,44.6,0.245,12.527,55.901,0.0,22,97
2025-07-01 14:16:38.661792746+00:00,8,68.6,70.8,43.8,0.023,11.464,42.56,0.0,21,102
2025-07-01 14:21:38.558882216+00:00,9,68.1,72.0,43.1,0.024,11.55,53.481,0.0,37,109
2025-07-01 14:26:38.533235023+00:00,10,68.1,72.0,42.4,0.025,11.552,50.731,0.0,19,94
2025-07-01 14:31:38.502665239+00:00,11,68.1,72.0,41.6,0.024,11.563,57.374,0.0,20,97
2025-07-01 14:36:38.476700827+00:00,12,68.1,72.0,40.9,0.023,12.231,52.646,0.0,20,92
