time,fcnt,Ipv_mA,Isys_mA,Vpv_V,Vsys_V,PV_mWh,SYS_mWh
2025-07-01 10:20:38.262307348+00:00,0,-0.18,-0.12,3.19,1.2,13.388,13.396
2025-07-01 10:27:36.820421868+00:00,0,-0.21,-0.09,3.22,1.21,13.387,13.396
2025-07-01 10:32:35.392793300+00:00,1,-0.19,-0.11,3.21,1.21,13.388,13.396
2025-07-01 10:50:43.558081324+00:00,0,-0.22,-0.13,3.21,1.2,0.0,0.0
2025-07-01 10:55:42.046374790+00:00,1,-0.22,-0.13,3.21,1.2,0.0,0.0
2025-07-01 11:00:41.934601133+00:00,2,0.03,-0.13,2.96,1.21,0.013,0.0
2025-07-01 11:09:48.622567606+00:00,0,-0.23,-0.13,3.21,1.16,0.0,0.0
2025-07-01 11:10:47.407090957+00:00,1,-0.22,-0.1,3.21,1.18,0.0,0.0
2025-07-01 11:11:47.265980083+00:00,2,-0.19,-0.13,3.2,1.19,0.0,0.0
2025-07-01 11:12:47.167736140+00:00,3,-0.23,-0.14,3.22,1.19,0.0,0.0
2025-07-01 11:14:41.427420533+00:00,0,0.37,20.4,3.22,5.09,0.016,1.732
2025-07-01 11:15:40.035763464+00:00,1,0.31,21.11,3.21,5.09,0.013,1.791
2025-07-01 11:16:39.967057449+00:00,2,0.12,20.42,3.21,5.09,0.001,1.732
2025-07-01 11:17:39.998647765+00:00,3,0.12,20.41,3.21,5.09,0.0,1.732
2025-07-01 11:18:40.055059110+00:00,4,0.19,20.38,3.21,5.09,0.0,1.73
2025-07-01 11:19:39.941575074+00:00,5,0.11,20.42,3.22,5.09,0.0,1.733
2025-07-01 11:25:26.121617352+00:00,0,-0.03,-0.12,3.21,1.21,0.0,0.0
2025-07-01 13:37:19.035590749+00:00,0,1.54,20.64,6.05,4.86,0.779,8.366
2025-07-01 13:42:17.719240130+00:00,1,1.53,20.95,6.09,4.87,0.776,8.502
2025-07-01 13:47:17.633679936+00:00,2,1.49,20.7,6.11,4.88,0.756,8.41
2025-07-01 13:52:17.607918054+00:00,3,1.53,20.84,6.07,4.88,0.775,8.472
2025-07-01 13:57:17.596322013+00:00,4,1.37,20.87,6.06,4.88,0.693,8.49
2025-07-01 14:02:17.554473836+00:00,5,1.35,20.59,5.87,4.88,0.658,8.378
2025-07-01 14:07:17.522020967+00:00,6,1.4,20.6,6.15,4.88,0.717,8.382
2025-07-01 14:12:17.706306283+00:00,7,1.41,20.94,6.11,4.88,0.716,8.519
2025-07-01 14:22:16.321484454+00:00,0,1.58,20.66,6.14,4.89,0.807,8.421
2025-07-01 14:27:16.315762850+00:00,1,1.45,21.02,6.06,4.89,0.73,8.564
2025-07-01 14:32:15.571792376+00:00,2,1.44,21.21,6.08,4.89,0.731,8.64
2025-07-01 14:37:25.543820659+00:00,3,1.61,20.99,6.07,4.89,0.813,8.553
2025-07-01 14:47:16.164119955+00:00,4,1.37,20.92,6.0,4.89,0.682,8.527
2025-07-01 14:52:16.144082298+00:00,5,1.6,20.81,6.2,4.89,0.826,8.481
2025-07-01 14:57:16.117949604+00:00,6,1.61,20.87,5.98,4.89,0.797,8.509
2025-07-01 15:02:16.082688454+00:00,7,1.4,20.79,5.95,4.89,0.686,8.474
2025-07-01 15:09:44.364029773+00:00,8,1.48,21.01,6.03,4.89,0.722,8.56
2025-07-01 15:12:16.071578753+00:00,9,1.57,21.03,6.22,4.89,0.81,8.566
2025-07-01 15:17:27.022160040+00:00,10,1.53,21.09,6.07,4.89,0.774,8.59
2025-07-01 15:27:15.926734747+00:00,11,1.5,23.29,5.94,4.88,0.741,9.473
2025-07-01 15:32:15.912253976+00:00,12,1.52,22.98,5.99,4.88,0.747,9.344
2025-07-01 15:42:15.866706697+00:00,13,1.52,23.52,6.01,4.88,0.735,9.561
2025-07-01 15:47:15.828547635+00:00,14,1.68,23.24,5.99,4.88,0.825,9.444
2025-07-01 15:52:15.840207739+00:00,15,1.34,23.02,5.93,4.88,0.66,9.352
2025-07-01 15:57:15.822406346+00:00,16,1.49,23.01,5.89,4.88,0.722,9.349
2025-07-01 16:04:54.063366310+00:00,17,1.43,23.12,6.0,4.88,0.701,9.391
2025-07-01 16:07:15.717194933+00:00,18,1.33,23.45,6.0,4.87,0.665,9.52
2025-07-01 16:17:15.666216600+00:00,19,1.48,23.46,6.03,4.87,0.74,9.521
2025-07-01 16:27:15.512053077+00:00,20,1.43,23.26,5.93,4.87,0.704,9.438
2025-07-01 16:32:14.800384687+00:00,21,1.39,22.82,5.91,4.87,0.678,9.263
2025-07-01 16:37:14.807310607+00:00,22,1.4,22.79,5.97,4.87,0.686,9.249
2025-07-01 16:47:15.399069243+00:00,23,1.42,23.0,5.95,4.87,0.692,9.332
2025-07-01 16:57:15.350037680+00:00,24,1.48,23.25,5.96,4.87,0.722,9.429
2025-07-01 17:07:15.316463875+00:00,25,1.4,23.2,5.85,4.87,0.677,9.41
2025-07-01 17:12:15.305841614+00:00,26,1.39,22.97,5.78,4.87,0.66,9.315
2025-07-01 17:17:15.290843604+00:00,27,1.44,23.0,5.73,4.87,0.672,9.328
2025-07-01 17:22:15.171620446+00:00,28,1.46,23.09,5.84,4.87,0.697,9.36
2025-07-01 17:27:15.103340860+00:00,29,1.41,23.16,5.95,4.87,0.697,9.387
2025-07-01 17:34:43.483970621+00:00,30,1.4,22.9,5.9,4.87,0.677,9.286
2025-07-01 17:37:15.030819082+00:00,31,1.42,23.23,5.85,4.87,0.692,9.416
2025-07-01 17:42:15.113220325+00:00,32,1.42,22.95,5.74,4.87,0.666,9.305
2025-07-01 17:47:14.962058952+00:00,33,1.41,23.05,5.62,4.87,0.65,9.344
2025-07-01 17:52:14.919631250+00:00,34,1.41,22.96,5.61,4.87,0.651,9.308
2025-07-01 17:57:14.975962604+00:00,35,1.34,22.94,5.58,4.86,0.625,9.296
2025-07-01 18:02:14.956073672+00:00,36,1.54,22.96,5.43,4.87,0.678,9.308
2025-07-01 18:07:14.814209082+00:00,37,1.37,23.06,5.45,4.87,0.62,9.347
2025-07-01 18:12:14.229139698+00:00,38,1.52,23.0,5.28,4.87,0.652,9.325
2025-07-01 18:17:14.067508335+00:00,39,1.33,22.82,5.31,4.87,0.588,9.249
2025-07-01 18:22:14.037672765+00:00,40,1.53,22.85,5.21,4.86,0.647,9.261
2025-07-01 18:27:14.005491312+00:00,41,1.44,22.74,5.22,4.86,0.62,9.218
2025-07-01 18:32:23.962979906+00:00,42,1.42,22.86,5.2,4.86,0.609,9.265
2025-07-01 18:37:13.923111274+00:00,43,1.39,22.81,5.16,4.86,0.592,9.243
2025-07-01 18:42:22.891293647+00:00,44,1.42,22.92,5.09,4.86,0.595,9.286
2025-07-01 18:47:13.852385361+00:00,45,1.41,23.06,5.03,4.86,0.585,9.341
2025-07-01 18:52:13.817121548+00:00,46,1.4,23.05,5.03,4.86,0.579,9.338
2025-07-01 18:57:13.775587576+00:00,47,1.41,22.84,5.18,4.86,0.602,9.253
2025-07-01 19:02:22.753796805+00:00,48,1.44,22.75,5.27,4.86,0.623,9.218
2025-07-01 19:07:13.711947186+00:00,49,1.41,22.79,5.2,4.86,0.602,9.233
2025-07-01 19:12:13.707109668+00:00,50,1.41,22.88,5.06,4.86,0.588,9.268
2025-07-01 19:22:14.276489699+00:00,51,1.4,22.94,4.83,4.86,0.56,9.287
2025-07-01 19:27:14.237717374+00:00,52,1.37,22.94,4.73,4.86,0.537,9.29
2025-07-01 19:32:14.199734834+00:00,53,1.4,22.84,4.66,4.86,0.539,9.246
2025-07-01 19:37:13.521945551+00:00,54,1.36,22.96,4.6,4.86,0.517,9.294
2025-07-01 19:42:13.463038504+00:00,55,1.41,22.73,4.39,4.86,0.513,9.205
2025-07-01 19:47:13.417425003+00:00,56,1.38,22.98,4.02,4.86,0.463,9.308
2025-07-01 19:52:13.412609689+00:00,57,1.24,22.84,3.67,4.86,0.378,9.248
2025-07-01 19:57:13.342243173+00:00,58,0.97,22.82,3.29,4.86,0.266,9.242
