time,fcnt,Ipv_mA,Isys_mA,Vpv_V,Vsys_V,PV_mWh,SYS_mWh
2025-07-28 09:59:27.633186626+00:00,0,-0.26,20.57,6.04,4.8,0.0,8.222
2025-07-28 10:13:54.304887650+00:00,0,23.47,20.4,4.32,5.01,8.47,8.522
2025-07-28 10:18:52.886657877+00:00,1,36.66,20.55,4.33,5.03,13.241,8.604
2025-07-28 10:59:12.809164746+00:00,0,42.23,20.37,4.59,4.9,16.171,8.321
2025-07-28 11:12:44.722161705+00:00,0,146.29,20.48,4.82,4.9,60.024,8.365
2025-07-28 11:17:43.607377963+00:00,1,86.5,20.6,4.58,4.9,33.755,8.405
2025-07-28 11:22:43.345091327+00:00,2,139.28,20.52,4.77,4.9,56.5,8.374
2025-07-28 11:27:43.210466517+00:00,3,84.9,20.49,4.58,4.9,33.72,8.362
2025-07-28 11:32:43.160342960+00:00,4,159.61,20.49,4.83,4.9,64.9,8.364
2025-07-28 11:37:43.131335188+00:00,5,105.13,20.53,4.65,4.9,41.652,8.377
2025-07-28 11:42:43.098281269+00:00,6,70.69,20.46,4.54,4.9,27.293,8.352
2025-07-28 11:47:43.057101510+00:00,7,98.05,20.47,4.62,4.9,38.023,8.355
2025-07-28 11:52:42.973921201+00:00,8,66.26,20.41,4.52,4.9,24.983,8.332
2025-07-28 11:57:42.990779057+00:00,9,108.74,20.61,4.66,4.9,43.413,8.41
2025-07-28 12:02:42.915755405+00:00,10,156.79,20.59,4.79,4.9,63.164,8.403
2025-07-28 12:07:42.925491673+00:00,11,68.41,20.39,4.5,4.9,26.034,8.321
2025-07-28 12:12:43.006919467+00:00,12,71.67,21.58,4.52,4.89,27.229,8.797
2025-07-28 12:17:44.287392645+00:00,13,131.89,23.61,4.71,4.89,53.247,9.605
2025-07-28 12:22:43.538669573+00:00,14,159.97,23.07,4.8,4.89,64.349,9.394
2025-07-28 12:27:42.899002248+00:00,15,69.56,22.85,4.52,4.89,26.989,9.305
