time,fcnt,LDR_E,LDR_W,wake_time_s,E_solar_mWh,V_solar_V,I_solar_mA,E_logic_mWh,V_logic_V,I_logic_mA
2025-08-16 01:19:10.570542959+00:00,162,1023,920,3,0,0.09,0,0.09,4.8,22.5
2025-08-16 01:49:14.557601561+00:00,163,1023,924,3,0,0,0,0.08,4.79,22.16
2025-08-16 02:19:19.544791720+00:00,164,1023,898,3,0,0,0,0.09,4.78,22.75
2025-08-16 02:49:23.601715301+00:00,165,1023,900,3,0,0,0,0.09,4.79,22.66
2025-08-16 03:19:27.461105497+00:00,166,1023,899,3,0,0.18,0,0.09,4.79,22.72
2025-08-16 03:49:32.430146516+00:00,167,1023,900,3,0,0,0,0.09,4.79,22.59
2025-08-16 04:59:44.358856424+00:00,170,1023,389,3,0,3.82,0.05,0.09,4.79,23
2025-08-16 05:19:53.331399295+00:00,172,1023,263,3,0,4.03,1.45,0.09,4.79,22.93
2025-08-16 05:29:57.321825200+00:00,173,1023,221,3,0,4.17,2.7,0.09,4.79,22.73
2025-08-16 05:40:01.306604301+00:00,174,1023,204,3,0.01,4.17,3.32,0.09,4.79,22.7
2025-08-16 05:50:05.283755619+00:00,175,1023,189,3,0.01,4.17,4.02,0.09,4.79,22.7
2025-08-16 06:00:09.297017804+00:00,176,1023,171,3,0.01,4.17,5.37,0.09,4.79,23.42
2025-08-16 06:10:14.261863410+00:00,177,1023,162,3,0.02,4.17,6.19,0.09,4.79,22.87
2025-08-16 06:20:18.250708499+00:00,178,1023,153,3,0.02,4.17,7.03,0.08,4.8,22.45
2025-08-16 06:30:22.245974417+00:00,179,1023,138,3,0.03,4.18,8.82,0.09,4.79,23.31
2025-08-16 06:40:33.252581645+00:00,180,1023,132,3,0.03,4.18,9.72,0.09,4.79,23.07
2025-08-16 06:50:30.233427901+00:00,181,1023,130,3,0.03,4.18,9.89,0.09,4.8,22.68
2025-08-16 07:10:39.191213175+00:00,183,1023,115,3,0.04,4.19,13.02,0.09,4.79,23.47
2025-08-16 07:20:51.181815105+00:00,184,1023,110,3,0.04,4.19,13.2,0.09,4.8,23.22
2025-08-16 07:30:48.175535694+00:00,185,1023,104,3,0.05,4.21,16.61,0.09,4.8,23.29
2025-08-16 07:40:52.137234369+00:00,186,1023,99,3,0.06,4.22,18.32,0.09,4.8,23.64
2025-08-16 07:51:03.124476199+00:00,187,1023,101,3,0.06,4.21,17.09,0.09,4.8,23.2
2025-08-16 08:01:07.116009477+00:00,188,1023,97,3,0.06,4.22,18.68,0.09,4.8,22.89
2025-08-16 08:11:05.101726951+00:00,189,1023,93,3,0.06,4.22,19.59,0.09,4.8,23.16
2025-08-16 08:21:09.095797411+00:00,190,1023,90,3,0.07,4.23,21.35,0.09,4.8,23.09
2025-08-16 08:31:21.072451872+00:00,191,1023,86,3,0.08,4.23,22.97,0.09,4.8,22.8
2025-08-16 08:41:18.057952637+00:00,192,1023,83,3,0.09,4.24,26.23,0.09,4.79,23.15
2025-08-16 08:51:22.053132232+00:00,193,1023,75,3,0.11,4.26,31.21,0.09,4.8,23.48
2025-08-16 09:01:26.136590588+00:00,194,1023,76,3,0.1,4.26,30.68,0.09,4.8,22.88
2025-08-16 09:11:31.030245722+00:00,195,1023,78,3,0.1,4.25,28.37,0.09,4.8,23
2025-08-16 09:51:47.991869117+00:00,199,1023,71,3,0.12,4.25,33.91,0.09,4.8,23.16
2025-08-16 10:01:52.004702160+00:00,200,1023,74,3,0.1,4.23,30.2,0.09,4.8,23.12
2025-08-16 10:12:02.971499295+00:00,201,1023,66,3,0.13,4.27,37.21,0.09,4.8,22.5
2025-08-16 10:21:59.941181909+00:00,202,1023,65,3,0.13,4.27,38.81,0.09,4.8,22.95
2025-08-16 10:32:04.932652716+00:00,203,1023,56,3,0.19,4.32,53.43,0.09,4.8,23.5
2025-08-16 10:42:08.916969587+00:00,204,1023,47,3,0.29,4.41,79.1,0.09,4.8,22.85
2025-08-16 10:52:12.903207248+00:00,205,1023,45,3,0.28,4.4,77.38,0.09,4.8,23.23
2025-08-16 11:02:17.891671276+00:00,206,1023,46,3,0.29,4.41,79.36,0.09,4.8,23.02
2025-08-16 11:12:21.876889543+00:00,207,1023,50,3,0.23,4.35,65.09,0.09,4.8,23.2
2025-08-16 11:22:33.864677214+00:00,208,1023,47,3,0.26,4.38,72.42,0.09,4.81,22.84
2025-08-16 11:32:30.860748458+00:00,209,1023,46,3,0.27,4.39,76.08,0.09,4.8,22.81
2025-08-16 11:42:35.835547364+00:00,210,1023,50,3,0.24,4.37,67.41,0.09,4.8,23.24
2025-08-16 11:52:39.836532237+00:00,211,1023,43,3,0.29,4.41,81.2,0.09,4.8,23.48
2025-08-16 12:32:57.775590734+00:00,215,1023,45,3,0.28,4.4,78.41,0.09,4.79,22.67
2025-08-16 12:43:01.770410216+00:00,216,1023,53,3,0.19,4.32,53.52,0.09,4.79,23.12
2025-08-16 12:53:06.747491702+00:00,217,1023,51,3,0.2,4.33,56.78,0.09,4.79,23.14
2025-08-16 13:23:18.832104257+00:00,220,1023,43,3,0.27,4.39,74.6,0.09,4.8,22.84
2025-08-16 13:33:22.810827444+00:00,221,1023,44,3,0.26,4.38,71.56,0.09,4.8,23.53
2025-08-16 13:43:27.689923628+00:00,222,1023,43,3,0.26,4.39,72.69,0.09,4.8,22.83
2025-08-16 13:53:31.766235812+00:00,223,1023,41,3,0.28,4.4,78.22,0.09,4.8,23.16
2025-08-16 14:13:40.663619996+00:00,225,1023,50,3,0.19,4.33,55.25,0.09,4.8,23.44
2025-08-16 14:33:49.667804676+00:00,227,1023,51,3,0.17,4.31,49.11,0.09,4.8,23.09
2025-08-16 14:43:53.623646433+00:00,228,1023,55,3,0.15,4.29,42.38,0.09,4.8,22.89
2025-08-16 15:04:09.707587220+00:00,230,1023,64,3,0.1,4.24,29.45,0.09,4.8,23.24
2025-08-16 15:14:06.592357471+00:00,231,1023,63,3,0.11,4.25,31.33,0.09,4.81,22.74
2025-08-16 15:24:17.575157558+00:00,232,1023,57,3,0.13,4.27,37.52,0.09,4.8,23.18
2025-08-16 15:34:14.549813404+00:00,233,1023,55,3,0.13,4.27,38.73,0.09,4.81,22.85
2025-08-16 15:44:18.540469730+00:00,234,1023,52,3,0.16,4.3,47.1,0.09,4.8,23.59
2025-08-16 15:54:22.537259863+00:00,235,1023,53,3,0.16,4.3,46.68,0.09,4.81,22.86
2025-08-16 16:04:27.523533952+00:00,236,1023,51,3,0.17,4.31,49.67,0.09,4.81,22.59
2025-08-16 16:14:31.548167084+00:00,237,1023,52,3,0.16,4.3,46.52,0.09,4.8,23.11
2025-08-16 16:24:43.494923098+00:00,238,1023,49,3,0.18,4.31,51.43,0.09,4.81,23.1
2025-08-16 16:44:44.460987075+00:00,240,1023,54,3,0,6.68,1.44,0.09,4.81,22.83
2025-08-16 17:04:52.442548958+00:00,242,1023,59,3,0,6.56,1.35,0.09,4.81,23.07
2025-08-16 17:15:04.435103939+00:00,243,1023,57,3,0,6.61,1.38,0.08,4.81,22.35
2025-08-16 17:25:01.416391659+00:00,244,1023,63,3,0,6.5,1.37,0.09,4.81,23.14
2025-08-16 17:35:13.402474022+00:00,245,1023,66,3,0,6.48,1.33,0.09,4.81,22.79
2025-08-16 17:45:17.394195445+00:00,246,1023,70,3,0,6.42,1.32,0.09,4.81,23.13
2025-08-16 17:55:14.509537457+00:00,247,1023,74,3,0,6.36,1.32,0.09,4.81,22.54
2025-08-16 18:05:18.484897194+00:00,248,1023,87,3,0,6.23,1.27,0.09,4.81,23.26
2025-08-16 18:15:30.353672892+00:00,249,1023,92,3,0,6.13,1.24,0.09,4.81,23.13
2025-08-16 18:25:27.348899325+00:00,250,1023,97,3,0,6.09,1.29,0.09,4.81,22.94
2025-08-16 18:35:31.329294886+00:00,251,1023,109,3,0,5.92,1.28,0.09,4.81,23.1
2025-08-16 18:45:43.320133141+00:00,252,1023,121,3,0,5.61,1.2,0.09,4.81,22.92
2025-08-16 18:55:47.306970871+00:00,253,1023,137,3,0,5.29,1.18,0.09,4.8,23.21
2025-08-16 19:05:52.295791585+00:00,254,1023,166,3,0,4.61,1.17,0.08,4.8,22.36
2025-08-16 19:15:49.331918484+00:00,255,1023,214,3,0,4.04,0.46,0.09,4.79,22.86
2025-08-16 19:25:53.286677974+00:00,256,1023,295,3,0,3.6,0.06,0.09,4.78,23.31
2025-08-16 19:35:57.265260626+00:00,257,1023,419,3,0,2.34,0,0.09,4.79,23.07
2025-08-16 19:56:06.229328057+00:00,259,1023,688,3,0,0.37,0,0.09,4.79,22.8
2025-08-16 20:06:10.223900118+00:00,260,1023,754,3,0,0.19,0,0.09,4.79,22.56
2025-08-16 20:16:15.211633839+00:00,261,1023,779,3,0,0.14,0,0.08,4.79,22.25
2025-08-16 20:26:19.196848092+00:00,262,1023,787,3,0,0,0,0.09,4.78,23.24
