time,fcnt,curDeg,tgtDeg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-29 01:22:31.010110107+00:00,170,-90.2,-90,0,0.029,12.75,0,1018,1018,0,0,4.6,33.55,0.39,655.21
2025-07-29 01:27:30.965619113+00:00,171,-90.2,-90,0,0.026,12.79,0,1017,1018,0,0,4.6,33.59,0.39,655.22
2025-07-29 01:32:30.941354491+00:00,172,-90.2,-90,0,0.029,12.75,0,1018,1018,0,0,4.6,33.57,0.39,655.22
2025-07-29 01:37:30.898211399+00:00,173,-90.2,-90,0,0.033,12.78,0,1018,1017,0,0,4.6,33.59,0.39,655.21
2025-07-29 01:42:30.869363046+00:00,174,-90.2,-90,0,0.028,12.78,0,1018,1018,0,0,4.6,33.61,0.39,655.21
2025-07-29 01:47:30.829468950+00:00,175,-90.2,-90,0,0.029,12.73,0,1017,1018,0,0,4.6,33.54,0.39,655.21
2025-07-29 01:52:30.800624648+00:00,176,-90.2,-90,0,0.027,12.77,0,1018,1016,0,0,4.6,33.58,0.39,655.22
2025-07-29 01:57:30.760964653+00:00,177,-90.2,-90,0,0.026,12.75,0,1017,1016,0,0,4.6,33.53,0.39,655.21
2025-07-29 02:02:30.724486396+00:00,178,-90.2,-90,0,0.031,12.74,0,1017,1017,0,0,4.6,33.54,0.39,655.22
2025-07-29 02:12:30.654740719+00:00,180,-90.2,-90,0,0.03,12.85,0,1017,1018,0,0,4.6,33.55,0.39,655.22
2025-07-29 02:22:30.586338214+00:00,182,-90.2,-90,0,0.027,12.83,0,1017,1018,0,0,4.6,33.49,0.39,655.23
2025-07-29 02:27:30.560195737+00:00,183,-90.2,-90,0,0.027,12.86,0,1017,1017,0,0,4.6,33.55,0.39,655.23
2025-07-29 02:32:30.515199548+00:00,184,-90.2,-90,0,0.026,12.81,0,1018,1018,0,0,4.6,33.48,0.39,655.23
2025-07-29 02:37:30.483603863+00:00,185,-90.2,-90,0,0.025,12.86,0,1017,1018,0,0,4.59,33.6,0.39,655.22
2025-07-29 02:42:37.441542933+00:00,186,-90.2,-90,0,0.025,12.86,0,1018,1017,0,0,4.59,33.57,0.39,655.23
2025-07-29 02:47:30.407181164+00:00,187,-90.2,-90,0,0.028,12.81,0,1017,1018,0,0,4.59,33.49,0.39,655.22
2025-07-29 02:52:30.370389656+00:00,188,-90.2,-90,0,0.027,12.84,0,1018,1017,0,0,4.59,33.58,0.39,655.23
2025-07-29 02:57:30.333749678+00:00,189,-90.2,-90,0,0.029,12.85,0,1018,1017,0,0,4.59,33.55,0.4,655.22
2025-07-29 03:02:30.314140526+00:00,190,-90.2,-90,0,0.027,12.81,0,1016,1015,0,0,4.59,33.48,0.4,655.23
2025-07-29 03:07:30.275288520+00:00,191,-90.2,-90,0,0.028,12.84,0,1017,1017,0,0,4.6,33.54,0.4,655.22
2025-07-29 03:12:30.232729788+00:00,192,-90.2,-90,0,0.028,12.84,0,1017,1017,0,0,4.6,33.55,0.41,655.22
2025-07-29 03:17:30.198919162+00:00,193,-90.2,-90,0,0.028,12.83,0,1018,1015,0,0,4.59,33.52,0.42,655.23
2025-07-29 03:27:30.130491475+00:00,195,-90.2,-90,0,0.027,12.81,0,1014,1008,0,0,4.59,33.52,0.47,655.23
2025-07-29 03:32:30.092666646+00:00,196,-90.2,-90,0,0.026,12.81,0,1011,1008,0,0,4.59,33.54,0.52,655.22
2025-07-29 03:37:30.063877471+00:00,197,-90.2,-90,0,0.022,12.76,0,1007,987,0,0,4.59,33.51,0.61,655.21
2025-07-29 03:47:29.996672438+00:00,199,-90.2,-90,0,0.029,12.77,0,972,905,0,0,4.59,33.53,1.11,655.07
2025-07-29 03:52:29.960796089+00:00,200,-90.2,-90,0,0.029,12.75,0,936,826,0,0,4.59,33.53,1.73,655.27
2025-07-29 04:02:29.889086261+00:00,202,-90.2,-90,0,0.026,12.87,0,834,632,0,0,4.59,33.7,3.17,655.27
2025-07-29 04:07:29.870093926+00:00,203,-90.2,-90,0,0.026,12.89,0.02,764,528,0,0,4.59,33.7,3.49,0.09
2025-07-29 04:12:29.818532288+00:00,204,-90.2,-90,0,0.026,12.98,0.1,674,422,0,0,4.62,33.75,3.57,0.36
2025-07-29 04:17:29.793520816+00:00,205,-90.2,-90,0,0.025,13.11,0.19,592,337,0,0,4.64,33.92,3.56,0.65
2025-07-29 04:22:36.748820099+00:00,206,-90.2,-90,0,0.029,13.07,0.21,520,284,0,0,4.63,33.89,3.56,0.74
2025-07-29 04:27:29.721348292+00:00,207,-90.2,-90,0,0.027,13.13,0.29,445,232,0,0,4.63,34.01,3.56,0.99
2025-07-29 04:32:29.691762016+00:00,208,-90.2,-90,0,0.024,13.1,0.5,354,175,0,0,4.63,33.96,3.95,1.53
2025-07-29 04:37:29.654527803+00:00,209,-90.2,-90,0,0.027,13.1,1.11,263,131,0,0,4.62,34.03,4.31,3.1
2025-07-29 04:57:29.510736761+00:00,213,-90.2,-90,0,0.028,13.24,4.32,243,92,0,0,4.66,34.1,4.33,11.95
2025-07-29 05:02:29.483250647+00:00,214,-90.2,-90,0,0.02,13.37,1.53,228,81,0,0,4.7,34.11,4.31,4.23
2025-07-29 05:07:36.542917312+00:00,215,-90.2,-90,0,0.018,13.35,1.7,218,80,0,0,4.7,34.11,4.31,4.7
