t_ms,angle_deg,v,I_mA,power_mW
13702.0,30.0,5.08,5.3,26.9
13705.0,30.0,5.07,5.0,25.36
13707.0,30.0,5.07,5.3,26.88
13710.0,30.0,5.07,5.0,25.36
13712.0,30.0,5.07,5.0,25.36
13715.0,30.0,5.07,5.3,26.88
13718.0,30.0,5.07,5.0,25.36
13720.0,30.0,5.07,5.4,27.39
13723.0,30.0,5.08,5.0,25.38
13726.0,30.0,5.08,5.2,26.4
13729.0,30.0,5.08,5.1,25.89
13732.0,30.0,5.08,4.9,24.87
13734.0,30.0,5.07,4.9,24.85
13737.0,30.0,5.08,5.4,27.41
13740.0,30.0,5.07,5.1,25.87
13743.0,30.0,5.07,5.5,27.9
13746.0,30.0,5.08,4.7,23.86
13748.0,30.0,5.07,5.1,25.87
13751.0,30.0,5.08,5.1,25.89
13753.0,30.0,5.08,5.4,27.41
13756.0,30.0,5.08,5.1,25.89
13758.0,30.0,5.08,5.3,26.9
13761.0,30.0,5.08,5.4,27.41
13763.0,30.0,5.08,5.4,27.41
13766.0,30.0,5.07,5.2,26.37
13768.0,30.0,5.08,5.0,25.38
13771.0,30.0,5.07,5.5,27.9
13773.0,30.0,5.07,5.2,26.37
13776.0,30.0,5.07,5.5,27.9
13778.0,30.0,5.07,5.1,25.87
13781.0,30.0,5.07,5.3,26.88
13783.0,30.0,5.08,5.2,26.4
13786.0,30.0,5.08,5.6,28.43
13789.0,30.0,5.08,5.4,27.41
13792.0,30.0,5.07,5.5,27.9
13794.0,30.0,5.07,5.5,27.9
13797.0,30.0,5.08,5.4,27.41
13800.0,30.0,5.08,5.5,27.92
13803.0,30.0,5.07,5.3,26.88
13805.0,30.0,5.07,5.0,25.36
13808.0,30.0,5.07,5.1,25.87
13811.0,30.0,5.07,5.5,27.9
13813.0,30.0,5.08,5.7,28.93
13816.0,30.0,5.07,5.8,29.42
13819.0,30.0,5.08,5.4,27.41
13821.0,30.0,5.08,5.2,26.4
13824.0,30.0,5.07,5.2,26.37
13827.0,30.0,5.08,5.2,26.4
13830.0,30.0,5.08,5.0,25.38
13832.0,30.0,5.07,5.5,27.9
13835.0,30.0,5.08,5.0,25.38
13838.0,30.0,5.08,4.7,23.86
13840.0,30.0,5.08,5.5,27.92
13843.0,30.0,5.07,5.2,26.37
13846.0,30.0,5.07,5.1,25.87
13849.0,30.0,5.08,5.0,25.38
13852.0,30.0,5.07,5.4,27.39
13855.0,30.0,5.07,5.1,25.87
13858.0,30.0,5.07,5.1,25.87
13860.0,30.0,5.07,5.2,26.37
13863.0,30.0,5.08,5.7,28.93
13866.0,30.0,5.08,5.4,27.41
13869.0,30.0,5.07,5.3,26.88
13872.0,30.0,5.08,5.5,27.92
13874.0,30.0,5.08,5.8,29.44
13877.0,30.0,5.07,5.2,26.37
13880.0,30.0,5.08,5.5,27.92
13882.0,30.0,5.07,5.3,26.88
13885.0,30.0,5.07,5.5,27.9
13888.0,30.0,5.08,5.3,26.9
13891.0,30.0,5.08,5.3,26.9
13893.0,30.0,5.08,5.3,26.9
13896.0,30.0,5.08,5.4,27.41
13899.0,30.0,5.08,5.7,28.93
13902.0,30.0,5.08,5.5,27.92
13905.0,30.0,5.07,5.4,27.39
13907.0,30.0,5.08,5.1,25.89
13910.0,30.0,5.08,5.6,28.43
13913.0,30.0,5.07,5.1,25.87
