t_ms,angle_deg,v,I_mA,power_mW
20226.0,0.0,5.1,0.6,3.06
20276.0,0.0,5.11,0.4,2.04
20326.0,0.0,5.11,0.2,1.02
20376.0,0.0,5.11,0.4,2.04
20426.0,0.0,5.11,0.4,2.04
20476.0,0.0,5.11,0.2,1.02
20526.0,0.0,5.11,0.2,1.02
20576.0,0.0,5.11,0.2,1.02
20626.0,0.0,5.11,0.5,2.55
20676.0,0.0,5.11,0.5,2.55
20726.0,0.0,5.11,0.3,1.53
20776.0,0.0,5.11,0.3,1.53
20826.0,0.0,5.11,0.4,2.04
20876.0,0.0,5.11,0.6,3.06
20926.0,0.0,5.11,0.2,1.02
20976.0,0.0,5.11,0.2,1.02
21026.0,0.0,5.11,0.4,2.04
21076.0,0.0,5.11,0.4,2.04
21126.0,0.0,5.11,0.7,3.58
21176.0,0.0,5.11,0.5,2.55
21226.0,0.0,5.11,0.3,1.53
21276.0,0.0,5.11,0.6,3.06
21326.0,0.0,5.11,0.1,0.51
21376.0,0.0,5.11,0.3,1.53
21426.0,0.0,5.11,0.3,1.53
21476.0,0.0,5.11,0.3,1.53
21526.0,0.0,5.11,0.4,2.04
21576.0,0.0,5.11,0.5,2.55
21626.0,0.0,5.11,0.4,2.04
21676.0,0.0,5.11,0.3,1.53
21726.0,0.0,5.11,0.5,2.55
21776.0,0.0,5.11,0.6,3.06
21826.0,0.0,5.11,0.7,3.58
21876.0,0.0,5.11,0.6,3.06
21926.0,0.0,5.11,0.6,3.06
21976.0,0.0,5.11,0.7,3.58
22026.0,0.0,5.11,0.2,1.02
22076.0,0.0,5.11,0.3,1.53
22126.0,0.0,5.1,0.5,2.55
22176.0,0.0,5.11,0.5,2.56
22226.0,0.0,5.11,0.3,1.53
22276.0,0.0,5.11,0.7,3.58
22326.0,0.0,5.11,0.5,2.55
22376.0,0.0,5.11,0.4,2.04
22426.0,0.0,5.11,0.4,2.04
22476.0,0.0,5.11,0.2,1.02
22526.0,0.0,5.11,0.4,2.04
22576.0,0.0,5.11,0.4,2.04
22626.0,0.0,5.11,0.3,1.53
22676.0,0.0,5.11,0.2,1.02
22726.0,0.0,5.11,0.2,1.02
22776.0,0.0,5.11,0.5,2.55
22826.0,0.0,5.1,0.5,2.55
22876.0,0.0,5.11,0.8,4.09
22926.0,0.0,5.11,0.2,1.02
22976.0,0.0,5.11,0.1,0.51
23026.0,0.0,5.11,0.5,2.55
23076.0,0.0,5.11,0.4,2.04
23126.0,0.0,5.11,0.2,1.02
23176.0,0.0,5.11,0.3,1.53
23226.0,0.0,5.11,0.4,2.04
23276.0,0.0,5.11,0.2,1.02
23326.0,0.0,5.11,0.1,0.51
23376.0,0.0,5.11,0.4,2.04
23426.0,0.0,5.11,0.4,2.04
23476.0,0.0,5.1,0.3,1.53
23526.0,0.0,5.11,0.6,3.06
23576.0,0.0,5.1,0.3,1.53
23626.0,0.0,5.1,0.2,1.02
23676.0,0.0,5.11,0.3,1.53
23726.0,0.0,5.11,0.3,1.53
23776.0,0.0,5.11,0.4,2.04
23826.0,0.0,5.11,0.6,3.06
23876.0,0.0,5.1,0.3,1.53
23926.0,0.0,5.11,0.6,3.06
23976.0,0.0,5.11,0.3,1.53
24026.0,0.0,5.11,0.5,2.55
24076.0,0.0,5.1,0.3,1.53
24126.0,0.0,5.11,0.6,3.06
24176.0,0.0,5.11,0.4,2.04
24226.0,0.0,5.11,0.5,2.55
24276.0,0.0,5.11,0.4,2.04
24326.0,0.0,5.11,0.6,3.06
24376.0,0.0,5.11,0.7,3.58
24426.0,0.0,5.11,0.4,2.04
24476.0,0.0,5.11,0.6,3.06
24526.0,0.0,5.11,0.4,2.04
24576.0,0.0,5.11,0.4,2.04
24626.0,0.0,5.11,0.4,2.04
24676.0,0.0,5.11,0.2,1.02
24726.0,0.0,5.11,0.1,0.51
24776.0,0.0,5.11,0.3,1.53
24826.0,0.0,5.11,0.6,3.06
24876.0,0.0,5.11,0.4,2.04
24926.0,0.0,5.11,0.4,2.04
24976.0,0.0,5.11,0.5,2.55
25026.0,0.0,5.11,0.5,2.56
25076.0,0.0,5.11,0.5,2.55
25126.0,0.0,5.11,0.4,2.04
25176.0,0.0,5.11,0.5,2.55
25226.0,0.0,5.11,0.3,1.53
25276.0,0.0,5.11,0.4,2.04
25326.0,0.0,5.11,0.3,1.53
25376.0,0.0,5.11,0.2,1.02
25426.0,0.0,5.11,0.5,2.55
25476.0,0.0,5.11,0.3,1.53
25526.0,0.0,5.11,0.6,3.06
25576.0,0.0,5.11,0.4,2.04
25626.0,0.0,5.11,0.4,2.04
25676.0,0.0,5.11,0.4,2.04
25726.0,0.0,5.11,0.3,1.53
25776.0,0.0,5.11,0.4,2.04
25826.0,0.0,5.11,0.0,0.0
25876.0,0.0,5.11,0.2,1.02
25926.0,0.0,5.11,0.3,1.53
25976.0,0.0,5.11,0.5,2.55
26026.0,0.0,5.11,0.2,1.02
26076.0,0.0,5.11,0.7,3.58
26126.0,0.0,5.11,0.1,0.51
26176.0,0.0,5.11,0.1,0.51
26226.0,0.0,5.11,0.5,2.55
26276.0,0.0,5.11,0.1,0.51
26326.0,0.0,5.11,0.4,2.04
26376.0,0.0,5.11,0.4,2.04
26426.0,0.0,5.11,0.3,1.53
26476.0,0.0,5.11,0.3,1.53
26526.0,0.0,5.11,0.1,0.51
26576.0,0.0,5.11,0.3,1.53
26626.0,0.0,5.11,0.3,1.53
26676.0,0.0,5.11,0.3,1.53
26726.0,0.0,5.11,0.4,2.04
26776.0,0.0,5.11,0.3,1.53
26826.0,0.0,5.11,0.5,2.55
26876.0,0.0,5.11,0.4,2.04
26926.0,0.0,5.11,0.4,2.04
26976.0,0.0,5.11,0.4,2.04
27026.0,0.0,5.1,0.4,2.04
27076.0,0.0,5.11,0.5,2.55
27126.0,0.0,5.11,0.3,1.53
27176.0,0.0,5.11,0.7,3.58
27226.0,0.0,5.11,0.4,2.04
27276.0,0.0,5.11,0.3,1.53
27326.0,0.0,5.11,0.4,2.04
27376.0,0.0,5.11,0.5,2.55
27426.0,0.0,5.11,0.6,3.06
27476.0,0.0,5.11,0.2,1.02
27526.0,0.0,5.11,0.7,3.58
27576.0,0.0,5.11,0.1,0.51
27626.0,0.0,5.11,0.5,2.55
27676.0,0.0,5.11,0.5,2.55
27726.0,0.0,5.11,0.2,1.02
27776.0,0.0,5.11,0.5,2.55
27826.0,0.0,5.11,0.7,3.58
27876.0,0.0,5.11,0.3,1.53
27926.0,0.0,5.11,0.4,2.04
27976.0,0.0,5.11,0.4,2.04
28026.0,0.0,5.11,0.3,1.53
28076.0,0.0,5.11,0.4,2.04
28126.0,0.0,5.11,0.3,1.53
28176.0,0.0,5.11,0.6,3.06
28226.0,0.0,5.1,0.5,2.55
28276.0,0.0,5.11,0.3,1.53
28326.0,0.0,5.11,0.2,1.02
28376.0,0.0,5.11,0.0,0.0
28426.0,0.0,5.1,0.1,0.51
28476.0,0.0,5.11,0.1,0.51
28526.0,0.0,5.11,0.3,1.53
28576.0,0.0,5.11,0.7,3.58
28626.0,0.0,5.11,0.5,2.55
28676.0,0.0,5.11,0.2,1.02
28726.0,0.0,5.11,0.3,1.53
28776.0,0.0,5.11,0.3,1.53
28826.0,0.0,5.1,0.2,1.02
28876.0,0.0,5.11,0.3,1.53
28926.0,0.0,5.11,0.4,2.04
28976.0,0.0,5.11,0.3,1.53
29026.0,0.0,5.11,0.1,0.51
29076.0,0.0,5.11,0.2,1.02
29126.0,0.0,5.11,0.3,1.53
29176.0,0.0,5.11,0.2,1.02
29226.0,0.0,5.11,0.5,2.55
29276.0,0.0,5.11,0.5,2.55
29326.0,0.0,5.11,0.4,2.04
29376.0,0.0,5.11,0.6,3.06
29426.0,0.0,5.11,0.4,2.04
29476.0,0.0,5.11,0.5,2.56
29526.0,0.0,5.11,0.2,1.02
29576.0,0.0,5.11,0.6,3.06
29626.0,0.0,5.11,0.3,1.53
29676.0,0.0,5.11,0.4,2.04
29726.0,0.0,5.11,0.5,2.55
29776.0,0.0,5.11,0.2,1.02
29826.0,0.0,5.11,0.6,3.06
29876.0,0.0,5.11,0.1,0.51
29926.0,0.0,5.11,0.3,1.53
29976.0,0.0,5.1,0.1,0.51
30026.0,0.0,5.11,0.1,0.51
30076.0,0.0,5.11,0.2,1.02
30126.0,0.0,5.11,0.4,2.04
30176.0,0.0,5.11,0.4,2.04
30226.0,0.0,5.11,0.5,2.55
30276.0,0.0,5.11,0.4,2.04
30326.0,0.0,5.11,0.5,2.56
30376.0,0.0,5.11,0.4,2.04
30426.0,0.0,5.11,0.4,2.04
30476.0,0.0,5.11,0.3,1.53
30526.0,0.0,5.11,0.5,2.55
30576.0,0.0,5.11,0.8,4.09
30626.0,0.0,5.11,0.1,0.51
30676.0,0.0,5.11,0.5,2.55
30726.0,0.0,5.11,0.6,3.06
30776.0,0.0,5.1,0.4,2.04
30826.0,0.0,5.11,0.4,2.04
30876.0,0.0,5.11,0.2,1.02
30926.0,0.0,5.11,0.2,1.02
30976.0,0.0,5.11,0.5,2.55
31026.0,0.0,5.11,0.2,1.02
31076.0,0.0,5.11,0.7,3.58
31126.0,0.0,5.11,0.3,1.53
31176.0,0.0,5.11,0.6,3.06
31226.0,0.0,5.11,0.4,2.04
31276.0,0.0,5.1,0.4,2.04
31326.0,0.0,5.11,0.5,2.55
31376.0,0.0,5.11,0.6,3.06
31426.0,0.0,5.11,0.5,2.55
31476.0,0.0,5.11,0.5,2.55
31526.0,0.0,5.11,0.4,2.04
31576.0,0.0,5.11,0.3,1.53
31626.0,0.0,5.11,0.3,1.53
31676.0,0.0,5.11,0.3,1.53
31726.0,0.0,5.11,0.3,1.53
31776.0,0.0,5.11,0.3,1.53
31826.0,0.0,5.11,0.4,2.04
31876.0,0.0,5.11,0.2,1.02
31926.0,0.0,5.11,0.7,3.58
31976.0,0.0,5.11,0.1,0.51
32026.0,0.0,5.11,0.7,3.58
32076.0,0.0,5.1,0.3,1.53
32126.0,0.0,5.11,0.5,2.55
32176.0,0.0,5.11,0.2,1.02
32226.0,0.0,5.11,0.4,2.04
32276.0,0.0,5.11,0.3,1.53
32326.0,0.0,5.11,0.6,3.06
32376.0,0.0,5.11,0.1,0.51
32426.0,0.0,5.11,0.1,0.51
32476.0,0.0,5.11,0.4,2.04
32526.0,0.0,5.11,0.3,1.53
32576.0,0.0,5.11,0.3,1.53
32626.0,0.0,5.11,0.4,2.04
32676.0,0.0,5.11,0.4,2.04
32726.0,0.0,5.11,0.3,1.53
32776.0,0.0,5.11,0.5,2.55
32826.0,0.0,5.11,0.2,1.02
32876.0,0.0,5.11,0.5,2.55
32926.0,0.0,5.11,0.3,1.53
32976.0,0.0,5.11,0.6,3.07
33026.0,0.0,5.11,0.0,0.0
33076.0,0.0,5.1,0.1,0.51
33126.0,0.0,5.11,0.2,1.02
33176.0,0.0,5.11,0.6,3.06
33226.0,0.0,5.11,0.6,3.06
33276.0,0.0,5.11,0.4,2.04
33326.0,0.0,5.11,0.4,2.04
33376.0,0.0,5.11,0.0,0.0
33426.0,0.0,5.1,0.1,0.51
33476.0,0.0,5.11,0.5,2.55
33526.0,0.0,5.11,0.2,1.02
33576.0,0.0,5.11,0.3,1.53
33626.0,0.0,5.11,0.6,3.06
33676.0,0.0,5.11,0.5,2.55
33726.0,0.0,5.11,0.4,2.04
33776.0,0.0,5.11,0.6,3.06
33826.0,0.0,5.11,0.5,2.55
33876.0,0.0,5.11,0.5,2.55
33926.0,0.0,5.11,0.3,1.53
33976.0,0.0,5.11,0.4,2.04
34026.0,0.0,5.11,0.2,1.02
34076.0,0.0,5.11,0.2,1.02
34126.0,0.0,5.11,0.4,2.04
34176.0,0.0,5.11,0.2,1.02
34226.0,0.0,5.11,0.1,0.51
34276.0,0.0,5.11,0.1,0.51
34326.0,0.0,5.11,0.5,2.55
34376.0,0.0,5.11,0.1,0.51
34426.0,0.0,5.11,0.1,0.51
34476.0,0.0,5.11,0.3,1.53
34526.0,0.0,5.11,0.1,0.51
34576.0,0.0,5.11,0.4,2.04
34626.0,0.0,5.11,0.3,1.53
34676.0,0.0,5.11,0.4,2.04
34726.0,0.0,5.11,0.1,0.51
34776.0,0.0,5.11,0.5,2.55
34826.0,0.0,5.11,0.4,2.04
34876.0,0.0,5.11,0.1,0.51
34926.0,0.0,5.11,0.5,2.55
34976.0,0.0,5.11,0.4,2.04
35026.0,0.0,5.11,0.4,2.04
35076.0,0.0,5.11,0.5,2.55
35126.0,0.0,5.11,0.6,3.06
35176.0,0.0,5.11,0.4,2.04
35226.0,0.0,5.11,0.6,3.06
35276.0,0.0,5.1,0.4,2.04
35326.0,0.0,5.1,0.6,3.06
35376.0,0.0,5.11,0.4,2.04
35426.0,0.0,5.11,0.7,3.58
35476.0,0.0,5.11,0.6,3.06
35526.0,0.0,5.11,0.6,3.06
35576.0,0.0,5.11,0.6,3.06
35626.0,0.0,5.11,0.5,2.55
35676.0,0.0,5.1,0.4,2.04
35726.0,0.0,5.11,0.3,1.53
35776.0,0.0,5.11,0.3,1.53
35826.0,0.0,5.11,0.2,1.02
35876.0,0.0,5.11,0.4,2.04
35926.0,0.0,5.11,0.2,1.02
35976.0,0.0,5.1,0.6,3.06
36026.0,0.0,5.11,0.5,2.55
36076.0,0.0,5.11,0.5,2.55
36126.0,0.0,5.11,0.6,3.07
36176.0,0.0,5.11,0.5,2.55
36226.0,0.0,5.11,0.4,2.04
36276.0,0.0,5.11,0.6,3.06
36326.0,0.0,5.11,0.3,1.53
36376.0,0.0,5.11,0.5,2.55
36426.0,0.0,5.11,0.4,2.04
36476.0,0.0,5.11,0.1,0.51
36526.0,0.0,5.11,0.5,2.55
36576.0,0.0,5.11,0.4,2.04
36626.0,0.0,5.11,0.4,2.04
36676.0,0.0,5.11,0.4,2.04
36726.0,0.0,5.1,0.3,1.53
36776.0,0.0,5.11,0.5,2.55
36826.0,0.0,5.11,0.5,2.55
36876.0,0.0,5.11,0.4,2.04
36926.0,0.0,5.11,0.4,2.04
36976.0,0.0,5.1,0.5,2.55
37026.0,0.0,5.11,0.4,2.04
37076.0,0.0,5.11,0.4,2.04
37126.0,0.0,5.11,0.5,2.56
37176.0,0.0,5.11,0.2,1.02
37226.0,0.0,5.11,0.4,2.04
37276.0,0.0,5.1,0.3,1.53
37326.0,0.0,5.11,0.4,2.04
37376.0,0.0,5.11,0.3,1.53
37426.0,0.0,5.11,0.1,0.51
37476.0,0.0,5.11,0.5,2.55
37526.0,0.0,5.11,0.1,0.51
37576.0,0.0,5.11,0.2,1.02
37626.0,0.0,5.11,0.1,0.51
37676.0,0.0,5.1,0.4,2.04
37726.0,0.0,5.11,0.5,2.55
37776.0,0.0,5.11,0.6,3.06
37826.0,0.0,5.11,0.2,1.02
37876.0,0.0,5.1,0.3,1.53
37926.0,0.0,5.1,0.4,2.04
37976.0,0.0,5.11,0.1,0.51
38026.0,0.0,5.11,0.3,1.53
38076.0,0.0,5.11,0.4,2.04
38126.0,0.0,5.11,0.5,2.55
38176.0,0.0,5.11,0.1,0.51
38226.0,0.0,5.11,0.4,2.04
38276.0,0.0,5.11,0.5,2.56
38326.0,0.0,5.11,0.3,1.53
38376.0,0.0,5.11,0.5,2.55
38426.0,0.0,5.11,0.1,0.51
38476.0,0.0,5.11,0.2,1.02
38526.0,0.0,5.11,0.0,0.0
38576.0,0.0,5.11,0.6,3.06
38626.0,0.0,5.11,0.7,3.58
38676.0,0.0,5.1,0.6,3.06
38726.0,0.0,5.11,0.5,2.55
38776.0,0.0,5.11,0.6,3.06
38826.0,0.0,5.11,0.5,2.56
38876.0,0.0,5.11,0.5,2.55
38926.0,0.0,5.11,0.2,1.02
38976.0,0.0,5.11,0.4,2.04
39026.0,0.0,5.11,0.5,2.55
39076.0,0.0,5.11,0.3,1.53
39126.0,0.0,5.11,0.4,2.04
39176.0,0.0,5.11,0.3,1.53
39226.0,0.0,5.11,0.8,4.09
39276.0,0.0,5.11,0.3,1.53
39326.0,0.0,5.11,0.3,1.53
39376.0,0.0,5.11,0.4,2.04
39426.0,0.0,5.11,0.4,2.04
39476.0,0.0,5.1,0.8,4.08
39526.0,0.0,5.11,0.4,2.04
39576.0,0.0,5.11,0.8,4.09
39626.0,0.0,5.11,0.3,1.53
39676.0,0.0,5.11,0.4,2.04
39726.0,0.0,5.11,0.5,2.55
39776.0,0.0,5.11,0.4,2.04
39826.0,0.0,5.11,0.2,1.02
39876.0,0.0,5.1,0.4,2.04
39926.0,0.0,5.11,0.5,2.55
39976.0,0.0,5.11,0.6,3.06
40026.0,0.0,5.11,0.2,1.02
40076.0,0.0,5.1,0.7,3.57
40126.0,0.0,5.11,0.4,2.04
40176.0,0.0,5.11,0.5,2.55
40226.0,0.0,5.1,0.3,1.53
40276.0,0.0,5.11,0.4,2.04
40326.0,0.0,5.11,0.2,1.02
40376.0,0.0,5.11,0.4,2.04
40426.0,0.0,5.11,0.3,1.53
40476.0,0.0,5.11,0.4,2.04
40526.0,0.0,5.11,0.3,1.53
40576.0,0.0,5.11,0.4,2.04
40626.0,0.0,5.11,0.4,2.04
40676.0,0.0,5.11,0.1,0.51
40726.0,0.0,5.1,0.3,1.53
40776.0,0.0,5.11,0.6,3.06
40826.0,0.0,5.11,0.4,2.04
40876.0,0.0,5.11,0.1,0.51
40926.0,0.0,5.11,0.4,2.04
40976.0,0.0,5.11,0.3,1.53
41026.0,0.0,5.1,0.2,1.02
41076.0,0.0,5.11,0.5,2.55
41126.0,0.0,5.11,0.4,2.04
41176.0,0.0,5.11,0.2,1.02
41226.0,0.0,5.11,0.4,2.04
41276.0,0.0,5.1,0.2,1.02
41326.0,0.0,5.11,0.7,3.58
41376.0,0.0,5.11,0.4,2.04
41426.0,0.0,5.11,0.6,3.06
41476.0,0.0,5.11,0.7,3.58
41526.0,0.0,5.11,0.4,2.04
41576.0,0.0,5.1,0.3,1.53
41626.0,0.0,5.11,0.3,1.53
41676.0,0.0,5.11,0.3,1.53
41726.0,0.0,5.11,0.1,0.51
41776.0,0.0,5.11,0.1,0.51
41826.0,0.0,5.11,0.3,1.53
41876.0,0.0,5.11,0.3,1.53
41926.0,0.0,5.11,0.3,1.53
41976.0,0.0,5.1,0.7,3.57
42026.0,0.0,5.11,0.4,2.04
42076.0,0.0,5.11,0.5,2.55
42126.0,0.0,5.11,0.6,3.06
42176.0,0.0,5.1,0.6,3.06
42226.0,0.0,5.11,0.3,1.53
42276.0,0.0,5.11,0.0,0.0
42326.0,0.0,5.11,0.5,2.55
42376.0,0.0,5.11,0.3,1.53
42426.0,0.0,5.11,0.5,2.55
42476.0,0.0,5.11,0.3,1.53
42526.0,0.0,5.1,0.5,2.55
42576.0,0.0,5.11,0.4,2.04
42626.0,0.0,5.11,0.5,2.55
42676.0,0.0,5.11,0.3,1.53
42726.0,0.0,5.11,0.4,2.04
42776.0,0.0,5.11,0.5,2.55
42826.0,0.0,5.11,0.6,3.06
42876.0,0.0,5.11,0.6,3.06
42926.0,0.0,5.11,0.2,1.02
42976.0,0.0,5.1,0.5,2.55
43026.0,0.0,5.11,0.1,0.51
43076.0,0.0,5.11,0.6,3.06
43126.0,0.0,5.11,0.6,3.06
43176.0,0.0,5.11,0.4,2.04
43226.0,0.0,5.11,0.1,0.51
43276.0,0.0,5.11,0.4,2.04
43326.0,0.0,5.11,0.6,3.06
43376.0,0.0,5.11,0.5,2.55
43426.0,0.0,5.11,0.3,1.53
43476.0,0.0,5.11,0.3,1.53
43526.0,0.0,5.1,0.2,1.02
43576.0,0.0,5.11,0.1,0.51
43626.0,0.0,5.11,0.3,1.53
43676.0,0.0,5.11,0.4,2.04
43726.0,0.0,5.11,0.3,1.53
43776.0,0.0,5.11,0.2,1.02
43826.0,0.0,5.11,0.4,2.04
43876.0,0.0,5.11,0.4,2.04
43926.0,0.0,5.11,0.3,1.53
43976.0,0.0,5.11,0.3,1.53
44026.0,0.0,5.11,0.2,1.02
44076.0,0.0,5.11,0.5,2.55
44126.0,0.0,5.11,0.5,2.55
44176.0,0.0,5.11,0.3,1.53
44226.0,0.0,5.11,0.2,1.02
44276.0,0.0,5.11,0.5,2.55
44326.0,0.0,5.11,0.5,2.55
44376.0,0.0,5.1,0.1,0.51
44426.0,0.0,5.11,0.3,1.53
44476.0,0.0,5.11,0.2,1.02
44526.0,0.0,5.11,0.3,1.53
44576.0,0.0,5.11,0.2,1.02
44626.0,0.0,5.11,0.2,1.02
44676.0,0.0,5.11,0.3,1.53
44726.0,0.0,5.11,0.4,2.04
44776.0,0.0,5.1,0.2,1.02
44826.0,0.0,5.11,0.4,2.04
44876.0,0.0,5.11,0.4,2.04
44926.0,0.0,5.11,0.1,0.51
44976.0,0.0,5.11,0.1,0.51
45026.0,0.0,5.11,0.7,3.58
45076.0,0.0,5.1,0.6,3.06
45126.0,0.0,5.11,0.6,3.06
45176.0,0.0,5.11,0.7,3.58
45226.0,0.0,5.11,0.5,2.55
45276.0,0.0,5.11,0.4,2.04
45326.0,0.0,5.11,0.4,2.04
45376.0,0.0,5.11,0.6,3.07
45426.0,0.0,5.11,0.3,1.53
45476.0,0.0,5.11,0.4,2.04
45526.0,0.0,5.11,0.3,1.53
45576.0,0.0,5.11,0.3,1.53
45626.0,0.0,5.11,0.5,2.56
45676.0,0.0,5.11,0.4,2.04
45726.0,0.0,5.11,0.6,3.06
45776.0,0.0,5.11,0.3,1.53
45826.0,0.0,5.11,0.8,4.09
45876.0,0.0,5.11,0.5,2.55
45926.0,0.0,5.11,0.3,1.53
45976.0,0.0,5.11,0.6,3.06
46026.0,0.0,5.11,0.3,1.53
46076.0,0.0,5.11,0.4,2.04
46126.0,0.0,5.11,0.4,2.04
46176.0,0.0,5.1,0.2,1.02
46226.0,0.0,5.11,0.3,1.53
46276.0,0.0,5.11,0.5,2.55
46326.0,0.0,5.11,0.5,2.55
46376.0,0.0,5.11,0.5,2.55
46426.0,0.0,5.1,0.3,1.53
46476.0,0.0,5.11,0.6,3.06
46526.0,0.0,5.11,0.4,2.04
46576.0,0.0,5.11,0.2,1.02
46626.0,0.0,5.11,0.2,1.02
46676.0,0.0,5.11,0.1,0.51
46726.0,0.0,5.11,0.7,3.58
