t_ms,angle_deg,v,I_mA,power_mW
9763.0,0.0,5.11,0.4,2.04
9863.0,4.9,5.02,44.7,224.22
9963.0,11.1,5.04,23.7,119.45
10063.0,14.0,5.11,0.1,0.51
10163.0,14.0,5.1,0.3,1.53
10263.0,14.0,5.1,0.1,0.51
10363.0,14.0,5.1,0.5,2.55
10463.0,14.0,5.1,0.2,1.02
10563.0,14.0,5.1,0.6,3.06
10663.0,14.0,5.1,0.6,3.06
10763.0,14.0,5.1,0.6,3.06
10863.0,14.0,5.1,0.3,1.53
10963.0,14.0,5.1,0.4,2.04
11063.0,14.0,5.1,0.5,2.55
11163.0,14.0,5.1,0.3,1.53
11263.0,14.0,5.1,0.2,1.02
11363.0,14.0,5.1,0.6,3.06
11463.0,14.0,5.1,0.3,1.53
11563.0,14.0,5.1,0.4,2.04
11663.0,14.0,5.1,0.5,2.55
11763.0,14.0,5.1,0.4,2.04
11863.0,14.0,5.1,0.6,3.06
11963.0,14.0,5.1,0.3,1.53
12063.0,14.0,5.1,0.2,1.02
12163.0,14.0,5.1,0.5,2.55
12263.0,14.0,5.1,0.4,2.04
12363.0,14.0,5.1,0.3,1.53
12463.0,14.0,5.1,0.7,3.57
12563.0,14.0,5.1,0.4,2.04
12663.0,14.0,5.1,0.2,1.02
12763.0,14.0,5.11,0.7,3.58
12863.0,14.0,5.1,0.5,2.55
12963.0,14.0,5.1,0.3,1.53
13063.0,14.0,5.1,0.1,0.51
13163.0,14.0,5.1,0.2,1.02
13263.0,14.0,5.1,0.6,3.06
13363.0,14.0,5.1,0.0,0.0
13463.0,14.0,5.1,0.3,1.53
13563.0,14.0,5.1,0.4,2.04
13663.0,14.0,5.1,0.2,1.02
13763.0,14.0,5.1,0.5,2.55
13863.0,14.0,5.1,0.4,2.04
13963.0,14.0,5.1,0.8,4.08
14063.0,14.0,5.11,0.4,2.04
14163.0,14.0,5.1,0.6,3.06
14263.0,14.0,5.11,0.4,2.04
14363.0,14.0,5.1,0.3,1.53
14463.0,14.0,5.1,0.4,2.04
14563.0,14.0,5.1,0.3,1.53
14663.0,14.0,5.1,0.6,3.06
