t_ms,angle_deg,v,I_mA,power_mW
6790.0,0.0,5.1,0.4,2.04
6840.0,1.6,5.01,36.7,183.94
6890.0,4.5,5.07,24.1,122.24
6940.0,7.4,5.04,21.0,105.76
6990.0,10.3,5.05,38.0,191.98
7040.0,13.1,5.1,0.1,0.51
7090.0,14.0,5.11,0.2,1.02
7140.0,14.0,5.1,0.3,1.53
7190.0,14.0,5.1,0.5,2.55
7240.0,14.0,5.1,0.3,1.53
7290.0,14.0,5.1,0.6,3.06
7340.0,14.0,5.11,0.1,0.51
7390.0,14.0,5.1,0.5,2.55
7440.0,14.0,5.11,0.3,1.53
7490.0,14.0,5.1,0.6,3.06
7540.0,14.0,5.1,0.3,1.53
7590.0,14.0,5.1,0.4,2.04
7640.0,14.0,5.1,0.4,2.04
7690.0,14.0,5.1,0.6,3.06
7740.0,14.0,5.1,0.5,2.55
7790.0,14.0,5.1,0.1,0.51
7840.0,14.0,5.1,0.5,2.55
7890.0,14.0,5.11,0.6,3.06
7940.0,14.0,5.11,0.3,1.53
7990.0,14.0,5.1,0.3,1.53
8040.0,14.0,5.1,0.3,1.53
8090.0,14.0,5.1,0.4,2.04
8140.0,14.0,5.1,0.5,2.55
8190.0,14.0,5.11,0.1,0.51
8240.0,14.0,5.11,0.4,2.04
8290.0,14.0,5.1,0.2,1.02
8340.0,14.0,5.1,0.3,1.53
8390.0,14.0,5.1,0.1,0.51
8440.0,14.0,5.1,0.5,2.55
8490.0,14.0,5.1,0.3,1.53
8540.0,14.0,5.1,0.2,1.02
8590.0,14.0,5.1,0.2,1.02
8640.0,14.0,5.11,0.4,2.04
8690.0,14.0,5.1,0.5,2.55
8740.0,14.0,5.1,0.3,1.53
8790.0,14.0,5.11,0.4,2.04
8840.0,14.0,5.1,0.2,1.02
8890.0,14.0,5.1,0.3,1.53
8940.0,14.0,5.1,0.4,2.04
8990.0,14.0,5.1,0.7,3.57
9040.0,14.0,5.1,0.5,2.55
9090.0,14.0,5.1,0.4,2.04
9140.0,14.0,5.1,0.2,1.02
9190.0,14.0,5.1,0.5,2.55
9240.0,14.0,5.1,0.4,2.04
9290.0,14.0,5.1,0.3,1.53
9340.0,14.0,5.1,0.5,2.55
9390.0,14.0,5.1,0.4,2.04
9440.0,14.0,5.11,0.2,1.02
9490.0,14.0,5.1,0.2,1.02
9540.0,14.0,5.1,0.1,0.51
9590.0,14.0,5.1,0.3,1.53
9640.0,14.0,5.11,0.4,2.04
9690.0,14.0,5.11,0.5,2.55
9740.0,14.0,5.1,0.3,1.53
9790.0,14.0,5.11,0.5,2.55
9840.0,14.0,5.1,0.4,2.04
9890.0,14.0,5.1,0.4,2.04
9940.0,14.0,5.1,0.6,3.06
9990.0,14.0,5.1,0.5,2.55
10040.0,14.0,5.1,0.4,2.04
10090.0,14.0,5.1,0.4,2.04
10140.0,14.0,5.1,0.4,2.04
10190.0,14.0,5.11,0.3,1.53
10240.0,14.0,5.1,0.5,2.55
10290.0,14.0,5.1,0.2,1.02
10340.0,14.0,5.11,0.4,2.04
10390.0,14.0,5.1,0.3,1.53
10440.0,14.0,5.1,0.3,1.53
10490.0,14.0,5.1,0.1,0.51
10540.0,14.0,5.1,0.6,3.06
10590.0,14.0,5.1,0.3,1.53
10640.0,14.0,5.1,0.5,2.55
10690.0,14.0,5.1,0.3,1.53
10740.0,14.0,5.1,0.3,1.53
10790.0,14.0,5.1,0.6,3.06
10840.0,14.0,5.1,0.2,1.02
10890.0,14.0,5.11,0.4,2.04
10940.0,14.0,5.11,0.2,1.02
10990.0,14.0,5.1,0.3,1.53
11040.0,14.0,5.11,0.5,2.55
11090.0,14.0,5.1,0.5,2.55
11140.0,14.0,5.1,0.5,2.55
11190.0,14.0,5.1,0.1,0.51
11240.0,14.0,5.1,0.4,2.04
11290.0,14.0,5.1,0.4,2.04
11340.0,14.0,5.1,0.3,1.53
11390.0,14.0,5.1,0.3,1.53
11440.0,14.0,5.11,0.7,3.58
11490.0,14.0,5.1,0.5,2.55
11540.0,14.0,5.1,0.3,1.53
11590.0,14.0,5.1,0.3,1.53
11640.0,14.0,5.1,0.3,1.53
11690.0,14.0,5.1,0.5,2.55
11740.0,14.0,5.1,0.4,2.04
11790.0,14.0,5.1,0.2,1.02
11840.0,14.0,5.11,0.3,1.53
11890.0,14.0,5.1,0.4,2.04
11940.0,14.0,5.1,0.5,2.55
11990.0,14.0,5.1,0.6,3.06
12040.0,14.0,5.11,0.1,0.51
12090.0,14.0,5.1,0.3,1.53
12140.0,14.0,5.11,0.4,2.04
12190.0,14.0,5.1,0.5,2.55
12240.0,14.0,5.1,0.4,2.04
12290.0,14.0,5.11,0.3,1.53
12340.0,14.0,5.1,0.6,3.06
12390.0,14.0,5.1,0.4,2.04
12440.0,14.0,5.1,0.3,1.53
12490.0,14.0,5.11,0.4,2.04
12540.0,14.0,5.1,0.3,1.53
12590.0,14.0,5.1,0.2,1.02
12640.0,14.0,5.11,0.0,0.0
12690.0,14.0,5.1,0.2,1.02
12740.0,14.0,5.1,0.5,2.55
12790.0,14.0,5.1,0.4,2.04
12840.0,14.0,5.1,0.5,2.55
12890.0,14.0,5.1,0.4,2.04
12940.0,14.0,5.1,0.6,3.06
12990.0,14.0,5.1,0.2,1.02
13040.0,14.0,5.1,0.0,0.0
13090.0,14.0,5.1,0.2,1.02
13140.0,14.0,5.1,0.4,2.04
13190.0,14.0,5.11,0.4,2.04
13240.0,14.0,5.1,0.4,2.04
13290.0,14.0,5.1,0.3,1.53
13340.0,14.0,5.1,0.6,3.06
13390.0,14.0,5.1,0.6,3.06
13440.0,14.0,5.11,0.4,2.04
13490.0,14.0,5.1,0.4,2.04
13540.0,14.0,5.1,0.4,2.04
13590.0,14.0,5.1,0.5,2.55
13640.0,14.0,5.1,0.3,1.53
13690.0,14.0,5.1,0.3,1.53
13740.0,14.0,5.1,0.5,2.55
13790.0,14.0,5.1,0.3,1.53
13840.0,14.0,5.11,0.5,2.55
13890.0,14.0,5.1,0.3,1.53
13940.0,14.0,5.1,0.4,2.04
13990.0,14.0,5.1,0.1,0.51
14040.0,14.0,5.11,0.2,1.02
14090.0,14.0,5.11,0.4,2.04
14140.0,14.0,5.1,0.3,1.53
14190.0,14.0,5.1,0.4,2.04
14240.0,14.0,5.1,0.6,3.06
14290.0,14.0,5.11,0.2,1.02
14340.0,14.0,5.1,0.5,2.55
14390.0,14.0,5.1,0.4,2.04
14440.0,14.0,5.1,0.5,2.55
14490.0,14.0,5.1,0.4,2.04
14540.0,14.0,5.1,0.6,3.06
14590.0,14.0,5.1,0.4,2.04
14640.0,14.0,5.1,0.6,3.06
14690.0,14.0,5.1,0.4,2.04
14740.0,14.0,5.1,0.5,2.55
14790.0,14.0,5.1,0.6,3.06
14840.0,14.0,5.1,0.3,1.53
14890.0,14.0,5.1,0.5,2.55
14940.0,14.0,5.1,0.1,0.51
14990.0,14.0,5.11,0.5,2.55
15040.0,14.0,5.1,0.3,1.53
15090.0,14.0,5.1,0.3,1.53
15140.0,14.0,5.1,0.2,1.02
15190.0,14.0,5.1,0.3,1.53
15240.0,14.0,5.1,0.3,1.53
15290.0,14.0,5.1,0.1,0.51
15340.0,14.0,5.1,0.3,1.53
15390.0,14.0,5.1,0.7,3.57
15440.0,14.0,5.1,0.4,2.04
15490.0,14.0,5.1,0.5,2.55
15540.0,14.0,5.1,0.2,1.02
15590.0,14.0,5.11,0.3,1.53
15640.0,14.0,5.1,0.3,1.53
15690.0,14.0,5.1,0.3,1.53
15740.0,14.0,5.11,0.3,1.53
15790.0,14.0,5.1,0.3,1.53
15840.0,14.0,5.1,0.3,1.53
15890.0,14.0,5.1,0.5,2.55
15940.0,14.0,5.1,0.2,1.02
15990.0,14.0,5.1,0.2,1.02
16040.0,14.0,5.1,0.5,2.55
16090.0,14.0,5.1,0.3,1.53
16140.0,14.0,5.11,0.6,3.06
16190.0,14.0,5.1,0.4,2.04
16240.0,14.0,5.1,0.3,1.53
16290.0,14.0,5.11,0.3,1.53
16340.0,14.0,5.1,0.4,2.04
16390.0,14.0,5.1,0.5,2.55
16440.0,14.0,5.1,0.2,1.02
16490.0,14.0,5.1,0.2,1.02
16540.0,14.0,5.1,0.3,1.53
16590.0,14.0,5.1,0.1,0.51
16640.0,14.0,5.1,0.4,2.04
16690.0,14.0,5.1,0.4,2.04
16740.0,14.0,5.1,0.3,1.53
16790.0,14.0,5.1,0.4,2.04
16840.0,14.0,5.11,0.1,0.51
16890.0,14.0,5.1,0.6,3.06
16940.0,14.0,5.11,0.1,0.51
16990.0,14.0,5.1,0.4,2.04
17040.0,14.4,5.02,19.5,97.81
17090.0,16.8,5.04,36.8,185.62
17140.0,19.7,5.06,21.1,106.85
17190.0,23.0,5.02,22.0,110.44
17240.0,25.5,5.1,0.4,2.04
17290.0,25.9,5.1,0.3,1.53
17340.0,25.9,5.1,0.3,1.53
17390.0,25.9,5.1,0.3,1.53
17440.0,25.9,5.1,0.3,1.53
17490.0,25.9,5.1,0.4,2.04
17540.0,25.9,5.1,0.5,2.55
17590.0,25.9,5.1,0.4,2.04
17640.0,25.9,5.1,0.3,1.53
17690.0,25.9,5.1,0.5,2.55
17740.0,25.9,5.1,0.4,2.04
17790.0,25.9,5.1,0.1,0.51
17840.0,25.9,5.1,0.5,2.55
17890.0,25.9,5.11,0.4,2.04
17940.0,25.9,5.11,0.3,1.53
17990.0,25.9,5.1,0.5,2.55
18040.0,25.9,5.1,0.2,1.02
18090.0,25.9,5.1,0.5,2.55
18140.0,25.9,5.1,0.7,3.57
18190.0,25.9,5.1,0.5,2.55
18240.0,25.9,5.1,0.6,3.06
18290.0,25.9,5.1,0.4,2.04
18340.0,25.9,5.1,0.5,2.55
18390.0,25.9,5.11,0.3,1.53
18440.0,25.9,5.1,0.5,2.55
18490.0,25.9,5.1,0.4,2.04
18540.0,25.9,5.1,0.3,1.53
18590.0,25.9,5.1,0.2,1.02
18640.0,25.9,5.1,0.3,1.53
18690.0,25.9,5.1,0.3,1.53
18740.0,25.9,5.1,0.2,1.02
18790.0,25.9,5.1,0.3,1.53
18840.0,25.9,5.1,0.5,2.55
18890.0,25.9,5.11,0.3,1.53
18940.0,25.9,5.1,0.5,2.55
18990.0,25.9,5.1,0.4,2.04
19040.0,25.9,5.11,0.2,1.02
19090.0,25.9,5.1,0.3,1.53
19140.0,25.9,5.11,0.5,2.55
19190.0,25.9,5.11,0.3,1.53
19240.0,25.9,5.1,0.4,2.04
19290.0,25.9,5.1,0.2,1.02
19340.0,25.9,5.1,0.5,2.55
19390.0,25.9,5.1,0.5,2.55
19440.0,25.9,5.1,0.2,1.02
19490.0,25.9,5.1,0.3,1.53
19540.0,25.9,5.1,0.2,1.02
19590.0,25.9,5.1,0.4,2.04
19640.0,25.9,5.1,0.5,2.55
19690.0,25.9,5.1,0.3,1.53
19740.0,25.9,5.1,0.4,2.04
19790.0,25.9,5.1,0.4,2.04
19840.0,25.9,5.1,0.4,2.04
19890.0,25.9,5.11,0.6,3.06
19940.0,25.9,5.1,0.4,2.04
19990.0,25.9,5.11,0.4,2.04
20040.0,25.9,5.1,0.5,2.55
20090.0,25.9,5.1,0.5,2.55
20140.0,25.9,5.1,0.3,1.53
20190.0,25.9,5.1,0.5,2.55
20240.0,25.9,5.1,0.4,2.04
20290.0,25.9,5.1,0.5,2.55
20340.0,25.9,5.1,0.5,2.55
20390.0,25.9,5.11,0.4,2.04
20440.0,25.9,5.1,0.5,2.55
20490.0,25.9,5.1,0.2,1.02
20540.0,25.9,5.1,0.2,1.02
20590.0,25.9,5.1,0.4,2.04
20640.0,25.9,5.11,0.7,3.58
20690.0,25.9,5.1,0.5,2.55
20740.0,25.9,5.1,0.3,1.53
20790.0,25.9,5.1,0.2,1.02
20840.0,25.9,5.1,0.4,2.04
20890.0,25.9,5.1,0.7,3.57
20940.0,25.9,5.11,0.4,2.04
20990.0,25.9,5.1,0.1,0.51
21040.0,25.9,5.1,0.2,1.02
21090.0,25.9,5.11,0.4,2.04
21140.0,25.9,5.1,0.2,1.02
21190.0,25.9,5.11,0.7,3.58
21240.0,25.9,5.11,0.3,1.53
21290.0,25.9,5.11,0.5,2.55
21340.0,25.9,5.11,0.5,2.55
21390.0,25.9,5.1,0.6,3.06
21440.0,25.9,5.1,0.4,2.04
21490.0,25.9,5.11,0.5,2.55
21540.0,25.9,5.1,0.4,2.04
21590.0,25.9,5.1,0.3,1.53
21640.0,25.9,5.1,0.2,1.02
21690.0,25.9,5.1,0.5,2.55
21740.0,25.9,5.1,0.3,1.53
21790.0,25.9,5.1,0.4,2.04
21840.0,25.9,5.1,0.3,1.53
21890.0,25.9,5.1,0.5,2.55
21940.0,25.9,5.1,0.4,2.04
21990.0,25.9,5.1,0.6,3.06
22040.0,25.9,5.1,0.4,2.04
22090.0,25.9,5.1,0.6,3.06
22140.0,25.9,5.1,0.3,1.53
22190.0,25.9,5.1,0.4,2.04
22240.0,25.9,5.1,0.5,2.55
22290.0,25.9,5.1,0.4,2.04
22340.0,25.9,5.1,0.3,1.53
22390.0,25.9,5.1,0.5,2.55
22440.0,25.9,5.1,0.3,1.53
22490.0,25.9,5.1,0.4,2.04
22540.0,25.9,5.1,0.5,2.55
22590.0,25.9,5.1,0.4,2.04
22640.0,25.9,5.1,0.4,2.04
