t_ms,angle_deg,v,I_mA,power_mW
25337.0,0.0,5.1,0.5,2.55
25357.0,0.4,5.02,49.0,246.18
25377.0,0.8,5.06,22.0,111.41
25397.0,2.1,5.06,39.3,198.7
25417.0,3.3,5.03,20.3,102.07
25437.0,4.1,5.08,33.5,170.31
25457.0,5.3,5.03,20.9,105.17
25477.0,6.6,5.08,12.9,65.58
25497.0,7.8,5.03,38.7,194.58
25517.0,9.0,5.05,12.8,64.67
25537.0,10.3,5.08,40.3,204.56
25557.0,11.5,5.04,13.5,68.09
25577.0,12.7,5.1,0.3,1.53
25597.0,13.5,5.1,0.4,2.04
25617.0,14.0,5.1,0.3,1.53
25637.0,14.0,5.1,0.5,2.55
25657.0,14.0,5.1,0.3,1.53
25677.0,14.0,5.1,0.7,3.57
25697.0,14.0,5.1,0.4,2.04
25717.0,14.0,5.1,0.4,2.04
25737.0,14.0,5.1,0.7,3.57
25757.0,14.0,5.1,0.3,1.53
25777.0,14.0,5.1,0.4,2.04
25797.0,14.0,5.11,0.1,0.51
25817.0,14.0,5.1,0.2,1.02
25837.0,14.0,5.1,0.4,2.04
25857.0,14.0,5.1,0.4,2.04
25877.0,14.0,5.1,0.4,2.04
25897.0,14.0,5.1,0.3,1.53
25917.0,14.0,5.11,0.2,1.02
25937.0,14.0,5.1,0.7,3.57
25957.0,14.0,5.1,0.5,2.55
25977.0,14.0,5.1,0.3,1.53
25997.0,14.0,5.11,0.6,3.06
26017.0,14.0,5.1,0.6,3.06
26037.0,14.0,5.1,0.6,3.06
26057.0,14.0,5.1,0.2,1.02
26077.0,14.0,5.1,0.3,1.53
26097.0,14.0,5.1,0.3,1.53
26117.0,14.0,5.1,0.6,3.06
26137.0,14.0,5.1,0.3,1.53
26157.0,14.0,5.1,0.3,1.53
26177.0,14.0,5.1,0.4,2.04
26197.0,14.0,5.11,0.3,1.53
26217.0,14.0,5.1,0.6,3.06
26237.0,14.0,5.1,0.4,2.04
26257.0,14.0,5.1,0.2,1.02
26277.0,14.0,5.1,0.4,2.04
26297.0,14.0,5.1,0.2,1.02
26317.0,14.0,5.1,0.6,3.06
26337.0,14.0,5.1,0.5,2.55
26357.0,14.0,5.1,0.3,1.53
26377.0,14.0,5.1,0.5,2.55
26397.0,14.0,5.1,0.2,1.02
26417.0,14.0,5.1,0.7,3.57
26437.0,14.0,5.1,0.1,0.51
26457.0,14.0,5.1,0.3,1.53
26477.0,14.0,5.11,0.3,1.53
26497.0,14.0,5.1,0.7,3.57
26517.0,14.0,5.1,0.4,2.04
26537.0,14.0,5.11,0.4,2.04
26557.0,14.0,5.1,0.3,1.53
26577.0,14.0,5.1,0.5,2.55
26597.0,14.0,5.1,0.6,3.06
26617.0,14.0,5.1,0.3,1.53
26637.0,14.0,5.1,0.2,1.02
26657.0,14.0,5.1,0.4,2.04
26677.0,14.0,5.1,0.3,1.53
26697.0,14.0,5.1,0.6,3.06
26717.0,14.0,5.11,0.2,1.02
26737.0,14.0,5.1,0.4,2.04
26757.0,14.0,5.1,0.5,2.55
26777.0,14.0,5.1,0.3,1.53
26797.0,14.0,5.1,0.4,2.04
26817.0,14.0,5.1,0.2,1.02
26837.0,14.0,5.1,0.4,2.04
26857.0,14.0,5.1,0.5,2.55
26877.0,14.0,5.1,0.3,1.53
26897.0,14.0,5.1,0.3,1.53
26917.0,14.0,5.1,0.5,2.55
26937.0,14.0,5.1,0.4,2.04
26957.0,14.0,5.1,0.4,2.04
26977.0,14.0,5.11,0.4,2.04
26997.0,14.0,5.1,0.7,3.57
27017.0,14.0,5.1,0.4,2.04
27037.0,14.0,5.1,0.4,2.04
27057.0,14.0,5.1,0.3,1.53
27077.0,14.0,5.1,0.8,4.08
27097.0,14.0,5.1,0.4,2.04
27117.0,14.0,5.1,0.6,3.06
27137.0,14.0,5.1,0.3,1.53
27157.0,14.0,5.1,0.3,1.53
27177.0,14.0,5.1,0.3,1.53
27197.0,14.0,5.1,0.5,2.55
27217.0,14.0,5.1,0.2,1.02
27237.0,14.0,5.1,0.4,2.04
27257.0,14.0,5.11,0.2,1.02
27277.0,14.0,5.11,0.2,1.02
27297.0,14.0,5.1,0.0,0.0
27317.0,14.0,5.1,0.2,1.02
27337.0,14.0,5.1,0.3,1.53
27357.0,14.0,5.1,0.2,1.02
27377.0,14.0,5.1,0.2,1.02
27397.0,14.0,5.1,0.4,2.04
27417.0,14.0,5.1,0.3,1.53
27437.0,14.0,5.11,0.4,2.04
27457.0,14.0,5.11,0.2,1.02
27477.0,14.0,5.1,0.6,3.06
27497.0,14.0,5.1,0.4,2.04
27517.0,14.0,5.1,0.5,2.55
27537.0,14.0,5.11,0.5,2.55
27557.0,14.0,5.11,0.2,1.02
27577.0,14.0,5.1,0.5,2.55
27597.0,14.0,5.11,0.2,1.02
27617.0,14.0,5.1,0.2,1.02
27637.0,14.0,5.11,0.3,1.53
27657.0,14.0,5.11,0.3,1.53
27677.0,14.0,5.11,0.3,1.53
27697.0,14.0,5.11,0.2,1.02
27717.0,14.0,5.11,0.1,0.51
27737.0,14.0,5.1,0.3,1.53
27757.0,14.0,5.1,0.6,3.06
27777.0,14.0,5.1,0.1,0.51
27797.0,14.0,5.1,0.1,0.51
