t_ms,angle_deg,v,I_mA,power_mW
39193.0,0.0,5.11,0.1,0.51
39243.0,0.0,5.11,0.3,1.53
39293.0,0.0,5.11,0.1,0.51
39343.0,0.0,5.11,0.4,2.04
39393.0,0.0,5.11,0.4,2.04
39443.0,0.0,5.11,0.2,1.02
39493.0,0.0,5.11,0.4,2.04
39543.0,0.0,5.11,0.5,2.55
39593.0,0.0,5.11,0.1,0.51
39643.0,0.0,5.11,0.5,2.55
39693.0,0.0,5.1,0.5,2.55
39743.0,0.0,5.11,0.3,1.53
39793.0,0.0,5.11,0.5,2.56
39843.0,0.0,5.11,0.5,2.55
39893.0,0.0,5.11,0.2,1.02
39943.0,0.0,5.11,0.6,3.06
39993.0,0.0,5.11,0.4,2.04
40043.0,0.0,5.11,0.3,1.53
40093.0,0.0,5.11,0.5,2.55
40143.0,0.0,5.11,0.3,1.53
40193.0,0.0,5.11,0.3,1.53
40243.0,0.0,5.11,0.3,1.53
40293.0,0.0,5.11,0.4,2.04
40343.0,0.0,5.11,0.5,2.55
40393.0,0.0,5.11,0.3,1.53
40443.0,0.0,5.11,0.3,1.53
40493.0,0.0,5.11,0.2,1.02
40543.0,0.0,5.11,0.5,2.55
40593.0,0.0,5.11,0.3,1.53
40643.0,0.0,5.11,0.2,1.02
40693.0,0.0,5.11,0.2,1.02
40743.0,0.0,5.11,0.1,0.51
40793.0,0.0,5.11,0.6,3.07
40843.0,0.0,5.11,0.5,2.55
40893.0,0.0,5.11,0.1,0.51
40943.0,0.0,5.11,0.4,2.04
40993.0,0.0,5.11,0.0,0.0
41043.0,0.0,5.11,0.5,2.55
41093.0,0.0,5.11,0.5,2.55
41143.0,0.0,5.11,0.5,2.55
41193.0,0.0,5.11,0.6,3.06
41243.0,0.0,5.11,0.6,3.06
41293.0,0.0,5.11,0.5,2.56
41343.0,0.0,5.11,0.2,1.02
41393.0,0.0,5.11,0.3,1.53
41443.0,0.0,5.11,0.4,2.04
41493.0,0.0,5.11,0.5,2.56
41543.0,0.0,5.11,0.5,2.56
41593.0,0.0,5.11,0.5,2.55
41643.0,0.0,5.11,0.3,1.53
41693.0,0.0,5.11,0.3,1.53
41743.0,0.0,5.11,0.4,2.04
41793.0,0.0,5.11,0.4,2.04
41843.0,0.0,5.11,0.3,1.53
41893.0,0.0,5.11,0.5,2.56
41943.0,0.0,5.11,0.3,1.53
41993.0,0.0,5.11,0.4,2.04
42043.0,0.0,5.11,0.1,0.51
42093.0,0.0,5.11,0.1,0.51
42143.0,0.0,5.11,0.2,1.02
42193.0,0.0,5.11,0.4,2.04
42243.0,0.0,5.11,0.4,2.04
42293.0,0.0,5.11,0.3,1.53
42343.0,0.0,5.11,0.3,1.53
42393.0,0.0,5.11,0.4,2.04
42443.0,0.0,5.11,0.4,2.04
42493.0,0.0,5.11,0.4,2.04
42543.0,0.0,5.11,0.5,2.55
42593.0,0.0,5.11,0.1,0.51
42643.0,0.0,5.11,0.4,2.04
42693.0,0.0,5.11,0.1,0.51
